,portfolio,year,n_entered,n_exited,turnover_max,turnover_avg,n_assets_lag,n_stayed,turnover_rate
0,central fast,2020,31,33,33,32.0,61.0,28.0,0.5409836065573771
1,central fast,2021,41,43,43,42.0,59.0,16.0,0.7288135593220338
2,central fast,2022,32,32,32,32.0,57.0,25.0,0.5614035087719298
3,central fast,2023,35,35,35,35.0,57.0,22.0,0.6140350877192983
4,central fast,2024,34,34,34,34.0,57.0,23.0,0.5964912280701754
5,central medium,2020,39,38,39,38.5,59.0,21.0,0.6440677966101694
6,central medium,2021,27,28,28,27.5,60.0,32.0,0.4666666666666667
7,central medium,2022,31,25,31,28.0,59.0,34.0,0.423728813559322
8,central medium,2023,33,41,41,37.0,65.0,24.0,0.6307692307692307
9,central medium,2024,24,31,31,27.5,57.0,26.0,0.543859649122807
10,central slow,2020,43,37,43,40.0,56.0,19.0,0.6607142857142857
11,central slow,2021,41,39,41,40.0,62.0,23.0,0.6290322580645161
12,central slow,2022,31,38,38,34.5,64.0,26.0,0.59375
13,central slow,2023,35,37,37,36.0,57.0,20.0,0.6491228070175439
14,central slow,2024,38,26,38,32.0,55.0,29.0,0.4727272727272727
15,peripheral fast,2020,14,21,21,17.5,42.0,21.0,0.5
16,peripheral fast,2021,27,16,27,21.5,35.0,19.0,0.45714285714285713
17,peripheral fast,2022,23,20,23,21.5,46.0,26.0,0.43478260869565216
18,peripheral fast,2023,20,23,23,21.5,49.0,26.0,0.46938775510204084
19,peripheral fast,2024,23,18,23,20.5,46.0,28.0,0.391304347826087
20,peripheral medium,2020,20,18,20,19.0,45.0,27.0,0.4
21,peripheral medium,2021,24,27,27,25.5,47.0,20.0,0.574468085106383
22,peripheral medium,2022,25,26,26,25.5,44.0,18.0,0.5909090909090909
23,peripheral medium,2023,26,21,26,23.5,43.0,22.0,0.4883720930232558
24,peripheral medium,2024,34,29,34,31.5,48.0,19.0,0.6041666666666666
25,peripheral slow,2020,25,22,25,23.5,48.0,26.0,0.4583333333333333
26,peripheral slow,2021,23,30,30,26.5,51.0,21.0,0.5882352941176471
27,peripheral slow,2022,28,25,28,26.5,44.0,19.0,0.5681818181818182
28,peripheral slow,2023,20,22,22,21.0,47.0,25.0,0.46808510638297873
29,peripheral slow,2024,20,22,22,21.0,45.0,23.0,0.4888888888888889
