,Ticker,Sector,Industry,Country
1,AAPL,Technology,Consumer Electronics,USA
4,WMT,Consumer Defensive,Discount Stores,USA
5,BRK-A,Financial,Insurance - Diversified,USA
7,LLY,Healthcare,Drug Manufacturers - General,USA
8,JPM,Financial,Banks - Diversified,USA
9,XOM,Energy,Oil & Gas Integrated,USA
12,EQT,Energy,Oil & Gas E&P,USA
13,HBAN,Financial,Banks - Regional,USA
14,AXR,Real Estate,Real Estate - Development,USA
17,CET,Financial,Closed-End Fund - Equity,USA
21,DLX,Industrials,Conglomerates,USA
23,PPL,Utilities,Utilities - Regulated Electric,USA
25,CVS,Healthcare,Healthcare Plans,USA
29,TRC,Industrials,Conglomerates,USA
30,RRX,Industrials,Specialty Industrial Machinery,USA
31,SBR,Energy,Oil & Gas Midstream,USA
32,PKE,Industrials,Aerospace & Defense,USA
42,WSO,Industrials,Industrial Distribution,USA
45,DDS,Consumer Cyclical,Department Stores,USA
46,UMBF,Financial,Banks - Regional,USA
48,SPGI,Financial,Financial Data & Stock Exchanges,USA
50,ELSE,Technology,Scientific & Technical Instruments,USA
56,CBT,Basic Materials,Specialty Chemicals,USA
57,TFC,Financial,Banks - Regional,USA
60,ONB,Financial,Banks - Regional,USA
62,RELL,Technology,Electronic Components,USA
68,FLXS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA
72,ACU,Consumer Defensive,Household & Personal Products,USA
73,ES,Utilities,Utilities - Regulated Electric,USA
78,NKE,Consumer Cyclical,Footwear & Accessories,USA
81,AME,Industrials,Specialty Industrial Machinery,USA
82,UTL,Utilities,Utilities - Diversified,USA
83,UNH,Healthcare,Healthcare Plans,USA
87,GFF,Industrials,Building Products & Equipment,USA
89,MCY,Financial,Insurance - Property & Casualty,USA
92,CBSH,Financial,Banks - Regional,USA
93,SIGI,Financial,Insurance - Property & Casualty,USA
94,FLS,Industrials,Specialty Industrial Machinery,USA
98,STT,Financial,Asset Management,USA
100,WMB,Energy,Oil & Gas Midstream,USA
103,LNC,Financial,Insurance - Life,USA
106,OPY,Financial,Capital Markets,USA
107,OLP,Real Estate,REIT - Diversified,USA
108,TDW,Energy,Oil & Gas Equipment & Services,USA
109,WHR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA
112,GL,Financial,Insurance - Life,USA
113,UVV,Consumer Defensive,Tobacco,USA
115,AAME,Financial,Insurance - Life,USA
116,HRB,Consumer Cyclical,Personal Services,USA
117,WDC,Technology,Computer Hardware,USA
118,WY,Real Estate,REIT - Specialty,USA
119,LCII,Consumer Cyclical,Recreational Vehicles,USA
122,ALK,Industrials,Airlines,USA
124,PKOH,Industrials,Specialty Industrial Machinery,USA
128,TPC,Industrials,Engineering & Construction,USA
129,WTRG,Utilities,Utilities - Regulated Water,USA
130,DXR,Healthcare,Medical Instruments & Supplies,USA
131,TTC,Industrials,Tools & Accessories,USA
132,CACI,Technology,Information Technology Services,USA
134,WEN,Consumer Cyclical,Restaurants,USA
135,VMC,Basic Materials,Building Materials,USA
138,OII,Energy,Oil & Gas Equipment & Services,USA
141,PPG,Basic Materials,Specialty Chemicals,USA
144,VSEC,Industrials,Aerospace & Defense,USA
148,TSN,Consumer Defensive,Farm Products,USA
150,RHI,Industrials,Staffing & Employment Services,USA
153,ADP,Technology,Software - Application,USA
154,BKTI,Technology,Communication Equipment,USA
155,ADX,Financial,Closed-End Fund - Equity,USA
161,CSL,Industrials,Building Products & Equipment,USA
162,TNC,Industrials,Specialty Industrial Machinery,USA
163,ECL,Basic Materials,Specialty Chemicals,USA
164,SHW,Basic Materials,Specialty Chemicals,USA
171,HON,Industrials,Conglomerates,USA
172,SON,Consumer Cyclical,Packaging & Containers,USA
174,MGEE,Utilities,Utilities - Regulated Electric,USA
179,TEX,Industrials,Farm & Heavy Construction Machinery,USA
180,LPX,Industrials,Building Products & Equipment,USA
183,ODC,Basic Materials,Specialty Chemicals,USA
185,HST,Real Estate,REIT - Hotel & Motel,USA
187,ROK,Industrials,Specialty Industrial Machinery,USA
189,RCMT,Industrials,Conglomerates,USA
190,TRST,Financial,Banks - Regional,USA
194,DCI,Industrials,Specialty Industrial Machinery,USA
196,VNO,Real Estate,REIT - Office,USA
197,CLX,Consumer Defensive,Household & Personal Products,USA
200,AIG,Financial,Insurance - Diversified,USA
202,SNA,Industrials,Tools & Accessories,USA
203,CRD-B,Financial,Insurance Brokers,USA
206,FEIM,Technology,Communication Equipment,USA
210,GLW,Technology,Electronic Components,USA
212,HTO,Utilities,Utilities - Regulated Water,USA
214,IBCP,Financial,Banks - Regional,USA
215,ALNT,Technology,Electronic Components,USA
216,AJG,Financial,Insurance Brokers,USA
224,APA,Energy,Oil & Gas E&P,USA
236,SPXC,Industrials,Building Products & Equipment,USA
237,EDUC,Communication Services,Publishing,USA
240,RVTY,Healthcare,Diagnostics & Research,USA
