,Ticker,Company,Sector,Industry,mcap_2019,mcap_2020,mcap_2021,mcap_2022,mcap_2023,mcap_2024,pe_2019,pe_2020,pe_2021,pe_2022,pe_2023,pe_2024,dy_2019,dy_2020,dy_2021,dy_2022,dy_2023,dy_2024,pscore_2019,pscore_2020,pscore_2021,pscore_2022,pscore_2023,pscore_2024,azscore_2019,azscore_2020,azscore_2021,azscore_2022,azscore_2023,azscore_2024,fcfyield_2019,fcfyield_2020,fcfyield_2021,fcfyield_2022,fcfyield_2023,fcfyield_2024,roic_2019,roic_2020,roic_2021,roic_2022,roic_2023,roic_2024,rg_2019,rg_2020,rg_2021,rg_2022,rg_2023,rg_2024,ndebitda_2019,ndebitda_2020,ndebitda_2021,ndebitda_2022,ndebitda_2023,ndebitda_2024,gpm_2019,gpm_2020,gpm_2021,gpm_2022,gpm_2023,gpm_2024,epsdg_2019,epsdg_2020,epsdg_2021,epsdg_2022,epsdg_2023,epsdg_2024,Country
0,CRVO,CervoMed Inc,Healthcare,Biotechnology,61491739,254587480,154785730,120980023,213610945,61491739,"-0,2614619883","-3,03599154","-1,256301584","-0,6776913938","-9,348350479","-1,159607985",0,0,0,0,0,0,3,3,3,3,3,3,"2,04818802","2,04818802","2,04818802","2,04818802","2,04818802","2,04818802","-3,195593827","-0,3146977607","-0,4790574963","-0,6542010193","-0,3669255392","-0,8750719662","-0,5096042221","-0,5623579233","-0,6940621264","-1,017382716","-1,05912083","-0,4649502193",0,0,0,0,0,0,"1,225288592","1,165530715","2,340186963","-1,433947153","0,9974338577","0,4937417743",0,0,0,0,0,0,"0,689478267","0,829480864","0,1773333333","0,394921664","0,9267857143","-1,463414634",USA
1,FIEE,FiEE Inc,Technology,Communication Equipment,24874606,127620294,57484187,8873000,"5186633,73",24874606,"-6,502301423","-23,74015798","-22,60180764","-0,5669711075","-0,2169310699","-0,1645204222",0,0,0,0,0,0,4,4,4,4,4,4,"-15,0581947","-15,0581947","-15,0581947","-15,0581947","-15,0581947","-15,0581947","-0,09488508556","-0,08924391297","-0,3008788992","-1,459316313","1,167917882","-5,427505828","-0,5185733135","-0,4634137712","-0,09144902538","-0,6527959743","-124,2990342","32,49732507","0,1637055966","0,2758126822","0,1549105003","-0,0866246865","-0,4842900122","-0,9754889161","0,4294833989","-0,5390970668","5,397296736","-0,3765012915","0,04177105477","0,007803253089","0,2899364808","0,2835441455","0,3162946791","0,2355892695","0,01803735202","0,3238963389","-36,83333333","0,1607929515","0,4094488189","-2,724444444","-0,08353221957","0,8524229075",Hong Kong
2,OMEX,"Odyssey Marine Exploration, Inc",Basic Materials,Other Industrial Metals & Mining,30361348,89537560,74701291,75816402,93437602,30361348,"-2,855797974","-5,051297691","-6,944558989","-3,041973692","17,34774287","0,9646109838",0,0,0,0,0,0,2,2,2,2,2,2,"220,4339772","220,4339772","220,4339772","220,4339772","220,4339772","220,4339772","-0,1831258531","-0,1227229379","-0,07873842502","-0,1740080705","-0,1241919303","0,03694371227","0,7219807407","1,161532918","0,7426981761","2,960447214","-1,513640105","-1,317932188","-0,06189905039","-0,3366935818","-0,548043204","0,4488134445","-0,3977689402","-0,04369500335","-3,503989122","-2,639936606","-7,792842513","-0,7798920501","12,31906919","1,399406202","-1,579845278","-4,359195165","-9,367157021","-6,312845864","-4,347330614","-3,03874189","-0,8666666667","-0,2589285714","0,4680851064","-0,7866666667","1,201492537","-0,7533333333",USA
3,RCAT,Red Cat Holdings Inc,Industrials,Aerospace & Defense,19505527,78698265,111473288,51036469,49005540,19505527,"-1,775579371","-12,85842368","-7,220303579","-8,374203615","-1,628815666","-3,824179583",0,0,0,0,0,0,4,4,4,4,4,4,"25,21802005","25,21802005","25,21802005","25,21802005","25,21802005","25,21802005","-1,295074036","-0,03940051871","-0,01463860715","-0,1673663092","-0,7040319983","-0,204621735","-0,04134881883","-0,7769968953","-0,66909749","-0,1607405374","-0,4558701076","-0,3900234085","111,6784566","2,842327046","11,37688023","0,2859168196","-0,28124738","2,859991941","-0,5841766748","-0,2111613771","-0,1456880115","0,03199208698","0,009250543295","0,2367823044","-2,346773963","0,194486805","0,2139576683","0,1439602312","-0,180554203","0,2063504807","-1,109537693","0,9543726236","-4,083333333","0,6393442623","-1,272727273","0,2",USA
4,BHRB,Burke & Herbert Financial Services Corp,Financial,Banks - Regional,417683202,317336256,440000000,484402464,467265859,417683202,"26,34468135","12,88199555","12,16645928","11,92724244","20,5924599","26,14167245","0,0335136827","0,04366358097","0,03379772727","0,02998740527","0,03369898526","0,03067704044",7,7,7,7,7,7,"0,4647297397","0,4647297397","0,4647297397","0,4647297397","0,4647297397","0,4647297397","0,05346091933","0,06003339583","0,1224295455","0,07235304454","0,0604771273","0,08702183786","0,03902428779","0,04344974478","0,05441397957","0,07138559053","0,03867405198","0,0275323722",0,"-0,069139116","-0,0227081441","0,086974317","0,273039631","1,445921297","3,352206031","7,053034166","10,82862511","11,44619843","17,88214656","5,960579356","0,774431016","0,8120932326","0,9725860364","0,9884291945","0,6712451165","0,585326343",0,"0,5613207547","0,3655589124","0,3030973451","-0,4872665535","-0,2251655629",USA
5,MGYR,Magyar Bancorp Inc,Financial,Banks - Regional,58606181,56063645,83461830,82772650,71726122,58606181,"18,84313788","17,97368454","11,33663377","10,62393152","8,542503438","10,03837019",0,0,0,"0,01696166055","0,01996836677","0,02149020005",4,4,4,4,4,4,"-0,7125121079","-0,7125121079","-0,7125121079","-0,7125121079","-0,7125121079","-0,7125121079","0,1016047725","0,01694511826","0,1273994622","0,1285377696","0,1241379455","0,07047352083","0,02994143631","0,01616522484","0,04564064702","0,06057754829","0,05091944305","0,05042338017","0,1072316341","-0,02134493835","0,1158990648","0,01894430564","0,2645415606","0,2793991311","2,868277475","1,433543506","-5,423117155","-0,8802465023","-3,335895","0,2478732277","0,7451732118","0,746638433","0,8554666498","0,9134645229","0,7369971282","0,6031194843","0,4571428571","-0,2549019608","1,657894737","0,1584158416","0,02564102564","0,025",USA
6,FKWL,Franklin Wireless Corp,Technology,Communication Equipment,25338569,272168281,50667003,52160369,39948709,25338569,"-15,49212183","10,52312994","5,881008474","-9,78402105","-15,29068476","-10,70212835",0,0,0,0,0,0,2,2,2,2,2,2,"4,262530874","4,262530874","4,262530874","4,262530874","4,262530874","4,262530874","0,006085240011","0,3644251454","0,1093860568","-0,2208769475","-0,08222577259","-0,02261807915","-0,1036234451","0,2516519257","0,3815013195","-0,08995747543","-0,04437338956","-0,1277296547","0,2129682221","1,058529267","1,452507115","-0,8696590879","0,9147000458","-0,3297565911","4,647316019","-3,298227211","-1,885039461","6,597636766","10,80435136","1,813010301","0,1573803707","0,1934732969","0,1763243634","0,1590391221","0,1527958378","0,1139197102","0,3","4,714285714","1,942307692","-1,209150327","0,25","-0,4166666667",USA
7,INTZ,Intrusion Inc,Technology,Software - Infrastructure,1507330000,6181448400,1314974400,763234800,61107089,1507330000,"333,387458","-39,67879104","-67,29660181","-47,02907142","-4,399041826","-2,085622593","0,0004796533598","0,0003827916072",0,0,0,0,2,2,2,2,2,2,"-9,882501422","-9,882501422","-9,882501422","-9,882501422","-9,882501422","-9,882501422","0,002707287171","-0,02125460065","-0,01399261059","-0,01921951148","-0,1508008318","-0,4986766788","0,8635753976","-0,3494027532","-2,628082469","-2,293057316","-3,572360617","-0,9405345212","0,3276566757","-0,5148427765","0,09941078713","0,03462965508","-0,2547483065","0,02851541615","-0,3391516136","2,180544499","0,03322032109","-0,6771904063","-1,236272235","0,3454900684","0,6084438906","0,5907236743","0,5024048372","0,5545225129","0,7759757619","0,7676312597","0,9333333333","-32,03448276","0,8911111111","-0,2244897959","0,04166666667","-0,2869565217",USA
8,LDWY,Lendway Inc,Communication Services,Advertising Agencies,"8717665,11",10195925,41220880,14034570,8039840,"8717665,11","-1,56314506","-2,209298834","-11,4942841","1,392366116","3,401164043","-1,494776249","0,001605935538","0,001373099051","0,0003446510162",0,0,0,2,2,2,2,2,2,"0,413836881","0,413836881","0,413836881","0,413836881","0,413836881","0,413836881","-0,3107485266","-0,1609468245","-0,07646328974","0,7623120582","0,05834057008","-0,6083056672","-0,4731183289","-0,5495787717","-1,150576369","-0,1795852331","-0,2257940327","-0,0423524333","-0,3522686244","-0,1879412858","0,1156046219",-1,0,0,"2,96196319","1,400511985","1,079799764","5,939991607","4,575740319","6,560010669","0,2013656633","0,1633680357","0,1656155463",0,0,"0,1723188521","-4,987804878","0,1865443425","0,2443609023","3,791044776","-1,055258467","-9,451612903",USA
9,ARTW,Art's-way Manufacturing Co. Inc,Industrials,Farm & Heavy Construction Machinery,"7638401,37",12888803,15988565,"9605523,15",10396947,"7638401,37","-5,544431783","-5,201260493","75,17206174","93,38042026","38,59852747","27,9420379",0,0,0,0,0,0,6,6,6,6,6,6,"3,519476123","3,519476123","3,519476123","3,519476123","3,519476123","3,519476123","0,04583118663","-0,141646957","-0,1004846708","-0,07859553872","-0,0870462808","0,2214566309","-0,07147375366","-0,1840866143","0,0239794766","0,0272286612","0,0542169377","0,01903172984","0,1603088753","-0,02097279793","0,1140590375","0,02728073919","0,1807212638","-0,1909314161","-12,3099435","-2,821451083","5,891106766","4,912104372","3,278339536","10,37902786","0,1716057194","0,1070813882","0,2642286111","0,2705534928","0,2834745943","0,2983694969","0,582278481","-0,4545454545","1,098125","-0,5583864119","1,567307692","0,138576779",USA
