Ticker,Company,Sector,Industry,mcap_2019,mcap_2020,mcap_2021,mcap_2022,mcap_2023,mcap_2024,pe_2019,pe_2020,pe_2021,pe_2022,pe_2023,pe_2024,dy_2019,dy_2020,dy_2021,dy_2022,dy_2023,dy_2024,pscore_2019,pscore_2020,pscore_2021,pscore_2022,pscore_2023,pscore_2024,azscore_2019,azscore_2020,azscore_2021,azscore_2022,azscore_2023,azscore_2024,fcfyield_2019,fcfyield_2020,fcfyield_2021,fcfyield_2022,fcfyield_2023,fcfyield_2024,roic_2019,roic_2020,roic_2021,roic_2022,roic_2023,roic_2024,rg_2019,rg_2020,rg_2021,rg_2022,rg_2023,rg_2024,ndebitda_2019,ndebitda_2020,ndebitda_2021,ndebitda_2022,ndebitda_2023,ndebitda_2024,gpm_2019,gpm_2020,gpm_2021,gpm_2022,gpm_2023,gpm_2024,epsdg_2019,epsdg_2020,epsdg_2021,epsdg_2022,epsdg_2023,epsdg_2024
ABTC,American Bitcoin Corp,Financial,Capital Markets,72051612,71255790,1406613022,382311622,654149561,72051612,#ERROR!,"-170387,0306","-99626,44106","-590,4690362","866,7065807","4,257666456",#ERROR!,0,0,0,0,0,3,3,3,3,3,3,"1,123157841","1,123157841","1,123157841","1,123157841","1,123157841","1,123157841",#ERROR!,"-0,000001508654427","-0,000002629518838","-0,001942156635","-0,001658207917","-0,04912328684",#ERROR!,"-0,2393103994","-0,1885910255","-8,277624348","0,01203714783","0,4029378968",#ERROR!,0,"0,1263631686","2,727272846","-0,01095873731","0,1008910297",#ERROR!,"0,0928283077","-0,1583610744","-0,09956729403","0,986644559","0,01077193408",#ERROR!,"0,3420549372","0,2847129054","0,3547891204","0,3288961389","0,4477123726",#ERROR!,0,"-10,56233882","0,9999977492","1,396363636","9,779816514"
ABVC,ABVC BioPharma Inc,Healthcare,Biotechnology,64019882,126442607,117407883,98588431,71197632,64019882,"-20,99761759","-10,26939238","-6,615209116","-1,205024934","-0,6457783399","-1,404817375",0,0,0,0,0,0,4,4,4,4,4,4,"-2,964535941","-2,964535941","-2,964535941","-2,964535941","-2,964535941","-2,964535941","-0,04099101054","-0,04538986122","-0,08966317592","-0,3798851085","-0,8366977151","-0,2626651286","-0,7610444075","-0,6606194033","-0,9578897237","-1,886132562","-1,673401174","-1,166864359","99,87967223","-0,3116261637","-0,2634288731","1,725663791","-0,8428205073","2,343101752","-1,276959364","-0,1706575026","0,2268479124","-0,133130076","-0,3240941831","-0,5388089959","0,971303328","0,9612541275","0,985705332","0,7046607334","-0,9814800236","0,9985027149","0,552238806","-1,380952381","-0,02","-0,01960784314","0,6538461538","0,7666666667"
ACB,Aurora Cannabis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,2369603808,1385414364,1072321888,314733770,225731542,2369603808,"-33,55970997","-0,504871986","-2,738412917","-0,2126019564","-0,3722980328","-4,309114015",0,0,0,0,0,0,5,5,5,5,5,5,"-8,898765269","-8,898765269","-8,898765269","-8,898765269","-8,898765269","-8,898765269","-0,06156652433","-0,4169065492","-0,1388094163","-0,3901742014","-0,4208583969","-0,2860876348","-0,0531121277","-0,1623883533","-0,1059292962","-0,2764448647","-0,247781679","-0,05956544545","3,448438293","0,09435276293","-0,08727479783","-0,09750379202","0,01113676306","0,2076683169","-2,106857595","-0,1167110307","0,07705993069","0,04789036289","0,5515008074","6,461667801","0,5801185977","-0,07418971876","-0,08790142384","0,09589362923","0,06605780058","0,4863826906","-3,036111111","-8,111050477","0,877455678","-0,9530791789","0,8977727728","0,8433292534"
ACET,Adicet Bio Inc,Healthcare,Biotechnology,3097146112,5844532937,12923140206,5957806243,1301389679,3097146112,"-6,87936675","-2,804018082","-8,731645323","-5,262326619","-0,5702460867","-0,7216110063",0,0,0,0,0,0,1,1,1,1,1,1,"-6,282921541","-6,282921541","-6,282921541","-6,282921541","-6,282921541","-6,282921541","-0,1495673785","-0,4136484937","-0,118403273","-0,1675852881","-1,206893662","-1,106245208","-0,4704295435","-0,2745511921","-0,189116779","-0,2314411038","-0,795057235","-0,6256894768","-0,8783767266","16,99296482","-0,4565156678","1,568345324",-1,0,"0,394590975","1,675871471","4,247641119","3,657331417","1,016493939","0,3548215093",1,1,1,1,0,0,"-3,903225806","-2,296052632","0,6007984032","0,15","-0,9470588235","0,5981873112"
ACTG,Acacia Research Corp,Industrials,Business Equipment & Supplies,132668553,187365833,238772325,174133969,390813992,132668553,"-7,734282519","1,761705617","1,677849405","-1,429326525","4,401437787","-11,94189089",0,"0,007181725382","0,005800341283","0,01565797725","0,004743183417",0,7,7,7,7,7,7,"1,759764093","1,759764093","1,759764093","1,759764093","1,759764093","1,759764093","-0,0522088296","-0,1746011513","-0,03101904274","-0,2409281044","-0,09721832011","-0,2288610599","-0,1023017921","-0,03882301693","0,01603687937","-0,07642195162","0,0344820203","-0,04202089517","-0,9144829894","1,648230482","1,95638305","-0,3273706089","1,112388768","-0,02230180173","3,539361567","-0,3930069589","-0,6454088233","2,088578784","-3,872712827","-52,43723703","-0,6261781967","0,1664763951","0,5900144241","0,3686912179","0,5777125865","0,2424455491","0,8380952381","5,352941176","0,2905405405","-1,633507853","1,479338843","-1,620689655"
AHG,Akso Health Group ADR,Healthcare,Medical Distribution,45724648,13383680,15222817,"2790834,43",15386021,45724648,"31,94325792","-0,2876192271","-0,2742280515","-0,6643332119","-1,98968022","-2,508542658","0,1106075936",0,0,0,0,0,3,3,3,3,3,3,"32,89096445","32,89096445","32,89096445","32,89096445","32,89096445","32,89096445","-0,01514122255","-2,743440649","1,053183674","-0,7712486623","-1,202352613","0,05694763518","-0,04900835292","-0,6986506846","-0,9955338765","-0,2653893808","-1,613985766","-0,06240267507","-0,965548281","0,8711956564","-0,7461939983","2,418930046","1,196926833","-0,8168397506","5,503342829","-0,3183000234","0,1774674816","5,785127409","0,5554461099","9,860340656",1,1,"0,6896910712","0,1008556667","0,09627008516","0,0505861234","-0,9247572816","-15,12903226","0,9794520548","-8,444444444","0,9764705882","-5,5"
AIRT,Air T Inc,Industrials,Conglomerates,58072299,71761800,72281100,69451408,47691799,58072299,"45,73461841","4,560528997","-9,400419273","5,995607613","-5,798609451","-8,684628245",0,0,0,0,0,0,5,5,5,5,5,5,"2,182492877","2,182492877","2,182492877","2,182492877","2,182492877","2,182492877","0,007622312193","-1,82629962","-0,114374509","-0,5287240537","0,2206500036","0,2718991808","0,06302340758","0,05664540489","-0,05466814438","0,04328418397","-0,02660011106","0,00863122674","0,2843682874","-0,05223249451","-0,2604219017","0,01116942","0,3966974819","0,1597546528","2,703610592","7,010239175","-19,65409533","6,896381579","177,7516869","21,35273911","0,1859712253","0,1987161349","0,1808520966","0,2224004247","0,1974139081","0,1826073617","-0,4054054054","1,568181818","-3,238938053","2,494071146","-2,142857143","0,4398148148"
AIXC,AIxCrypto Holdings Inc,Technology,Software - Infrastructure,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,"-2,063770003","-1,753795314","-0,2655580741","-0,2094530369","-0,2432073522",#ERROR!,0,0,0,0,0,2,2,2,2,2,2,"-2,131266627","-2,131266627","-2,131266627","-2,131266627","-2,131266627","-2,131266627",#ERROR!,"-0,2364834836","-0,473816308","-2,740658171","-3,66663763","-4,156592559",#ERROR!,"-0,6644360059","-1,23609921","-1,350403825","14,04940846","-2,150669121",#ERROR!,0,"0,3128913438",-1,0,0,#ERROR!,"2,091046828","0,7104944336","0,1017813144","-0,08195113942","0,2239945201",#ERROR!,"-0,6687017395","0,2336937152",0,0,0,#ERROR!,0,"0,5676028184","0,2032786885","0,4557613169","0,8672967864"
AKRO,Akero Therapeutics Inc,Healthcare,Biotechnology,632688345,896402295,740366346,2562490908,1301008902,632688345,"-7,6464441","-10,25068567","-7,309199448","-19,06907345","-8,088237271","-7,409922229",0,0,0,0,0,0,2,2,2,2,2,2,"54,74198322","54,74198322","54,74198322","54,74198322","54,74198322","54,74198322","-0,1064858857","-0,08740602748","-0,1081741614","-0,0433057919","-0,1184288436","-0,1237353067","-0,3543396929","-0,3076008811","-0,5912732601","-0,3408878311","-0,3077813287","-0,3627814221",0,0,0,0,0,0,"1,417340255","2,347418791","1,478786134","2,146749243","1,398779528","1,228023155",0,0,0,0,0,0,"0,2467532468","0,1310344828","-0,1468253968","0,006920415225","-0,006968641115","-0,2975778547"
ALDX,Aldeyra Therapeutics Inc,Healthcare,Biotechnology,169715265,313028042,233191444,407578142,207777788,169715265,"-2,589651306","-6,204623781","-3,741473741","-6,553928718","-5,510817737","-5,314618581",0,0,0,0,0,0,2,2,2,2,2,2,"-3,735740557","-3,735740557","-3,735740557","-3,735740557","-3,735740557","-3,735740557","-0,2856370578","-0,1609114474","-0,1969007063","-0,1393672845","-0,1465809767","-0,1455677485","-0,9826119366","-0,4573983542","-0,253705062","-0,3751222791","-0,3025334743","-0,6965416852",0,0,0,0,0,0,"0,4829547341","1,733471176","3,835977656","2,136363148","3,611809547","0,7307622759",0,0,0,0,0,0,"-0,251396648","0,5044642857","0,03603603604","0,009345794393","0,3962264151","-0,46875"
