,Ticker,Company,Sector,Industry
0,ABTC,American Bitcoin Corp,Financial,Capital Markets
1,ABVC,ABVC BioPharma Inc,Healthcare,Biotechnology
2,ACB,Aurora Cannabis Inc,Healthcare,Drug Manufacturers - Specialty & Generic
3,ACET,Adicet Bio Inc,Healthcare,Biotechnology
4,ACTG,Acacia Research Corp,Industrials,Business Equipment & Supplies
5,AHG,Akso Health Group ADR,Healthcare,Medical Distribution
6,AIRT,Air T Inc,Industrials,Conglomerates
7,AIXC,AIxCrypto Holdings Inc,Technology,Software - Infrastructure
8,AKRO,Akero Therapeutics Inc,Healthcare,Biotechnology
9,ALDX,Aldeyra Therapeutics Inc,Healthcare,Biotechnology
10,ALM,Almonty Industries Inc,Basic Materials,Other Industrial Metals & Mining
11,ALOT,AstroNova Inc,Technology,Computer Hardware
12,ALRM,Alarm.com Holdings Inc,Technology,Software - Application
13,ALT,Altimmune Inc,Healthcare,Biotechnology
14,AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials
15,ANDE,Andersons Inc,Consumer Defensive,Food Distribution
16,ANIX,Anixa Biosciences Inc,Healthcare,Biotechnology
17,AOSL,Alpha & Omega Semiconductor Ltd,Technology,Semiconductors
18,APLS,Apellis Pharmaceuticals Inc,Healthcare,Biotechnology
19,ASMB,Assembly Biosciences Inc,Healthcare,Biotechnology
20,ASRT,Assertio Holdings Inc,Healthcare,Drug Manufacturers - Specialty & Generic
21,ATLC,Atlanticus Holdings Corp,Financial,Credit Services
22,ATYR,Atyr Pharma Inc,Healthcare,Biotechnology
23,AVDL,Avadel Pharmaceuticals plc,Healthcare,Drug Manufacturers - Specialty & Generic
24,AXSM,Axsome Therapeutics Inc,Healthcare,Biotechnology
25,BEEM,Beam Global,Technology,Solar
26,BIIB,Biogen Inc,Healthcare,Drug Manufacturers - General
27,BITF,Bitfarms Ltd,Financial,Capital Markets
28,BLRX,Bioline Rx Ltd ADR,Healthcare,Biotechnology
29,BMRA,Biomerica Inc,Healthcare,Medical Devices
30,BOOM,DMC Global Inc,Industrials,Conglomerates
31,BRTX,BioRestorative Therapies Inc,Healthcare,Biotechnology
32,BYRN,Byrna Technologies Inc,Industrials,Aerospace & Defense
33,CDTX,Cidara Therapeutics Inc,Healthcare,Biotechnology
34,CENT,Central Garden & Pet Co,Consumer Defensive,Packaged Foods
35,CENTA,Central Garden & Pet Co,Consumer Defensive,Packaged Foods
36,CGC,Canopy Growth Corporation,Healthcare,Drug Manufacturers - Specialty & Generic
37,CLGN,CollPlant Biotechnologies Ltd,Healthcare,Biotechnology
38,CLWT,"Euro Tech Holdings Co., Ltd",Industrials,Pollution & Treatment Controls
39,COMM,CommScope Holding Company Inc,Technology,Communication Equipment
40,CPRX,Catalyst Pharmaceuticals Inc,Healthcare,Biotechnology
41,CPSH,CPS Technologies Corporation,Technology,Electronic Components
42,CRESY,Cresud ADR,Industrials,Conglomerates
43,CRMD,CorMedix Inc,Healthcare,Biotechnology
44,CRNT,Ceragon Networks Ltd,Technology,Communication Equipment
45,CRNX,Crinetics Pharmaceuticals Inc,Healthcare,Biotechnology
46,CUE,Cue Biopharma Inc,Healthcare,Biotechnology
47,CVV,CVD Equipment Corp,Industrials,Specialty Industrial Machinery
48,DDOG,Datadog Inc,Technology,Software - Application
49,DHC,Diversified Healthcare Trust,Real Estate,REIT - Healthcare Facilities
50,DUOT,Duos Technologies Group Inc,Technology,Software - Application
51,ELTK,Eltek Ltd,Technology,Electronic Components
52,ELVA,"Electrovaya, Inc",Industrials,Electrical Equipment & Parts
53,ENPH,Enphase Energy Inc,Technology,Solar
54,ESPR,Esperion Therapeutics Inc,Healthcare,Drug Manufacturers - Specialty & Generic
55,EVER,EverQuote Inc,Communication Services,Internet Content & Information
56,EVGN,Evogene Ltd,Healthcare,Biotechnology
57,EZPW,"EZCorp, Inc",Financial,Credit Services
58,FGEN,FibroGen Inc,Healthcare,Biotechnology
59,FIVN,Five9 Inc,Technology,Software - Infrastructure
60,FKWL,Franklin Wireless Corp,Technology,Communication Equipment
61,FLNT,Fluent Inc,Communication Services,Advertising Agencies
