Ticker,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
ABTC,32,American Bitcoin Corp,Financial,Capital Markets,USA,1490000000.0,,1.61,-2.42,7330506
ABVC,35,ABVC BioPharma Inc,Healthcare,Biotechnology,USA,50790000.0,,2.09,2.96,52462
ACB,39,Aurora Cannabis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,307310000.0,,5.42,5.86,2202085
ACET,43,Adicet Bio Inc,Healthcare,Biotechnology,USA,72780000.0,,0.47,-4.06,1585658
ACTG,61,Acacia Research Corp,Industrials,Business Equipment & Supplies,USA,370830000.0,77.35,3.84,1.7,92206
AGPU,120,Axe Compute Inc,Healthcare,Health Information Services,USA,18210000.0,,5.36,-1.2,5898
AIRT,145,Air T Inc,Industrials,Conglomerates,USA,51790000.0,,19.79,-5.13,2366
AIXC,147,AIxCrypto Holdings Inc,Technology,Software - Infrastructure,USA,13080000.0,,2.54,6.96,197510
AKRO,152,Akero Therapeutics Inc,Healthcare,Biotechnology,USA,4500000000.0,,54.65,0.0,0
ALM,176,Almonty Industries Inc,Basic Materials,Other Industrial Metals & Mining,Canada,1950000000.0,,7.7,5.4,1240802
ALOT,181,AstroNova Inc,Technology,Computer Hardware,USA,60650000.0,,7.94,-0.63,8407
ALRM,183,Alarm.com Holdings Inc,Technology,Software - Application,USA,2610000000.0,22.1,52.23,1.46,91850
ALT,185,Altimmune Inc,Healthcare,Biotechnology,USA,528500000.0,,5.07,-4.07,1853363
AMAT,194,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,USA,204830000000.0,29.78,258.32,-1.13,1669658
ANDE,228,Andersons Inc,Consumer Defensive,Food Distribution,USA,1900000000.0,26.18,56.02,-0.59,84661
ANIX,237,Anixa Biosciences Inc,Healthcare,Biotechnology,USA,113240000.0,,3.44,5.52,226944
APLS,259,Apellis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,3100000000.0,82.42,24.47,-0.37,913135
ASRT,319,Assertio Holdings Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,70390000.0,,0.73,-0.88,58595
ATLC,340,Atlanticus Holdings Corp,Financial,Credit Services,USA,1010000000.0,11.86,66.78,3.02,29053
ATYR,355,Atyr Pharma Inc,Healthcare,Biotechnology,USA,73010000.0,,0.75,1.6,533275
AVDL,371,Avadel Pharmaceuticals plc,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland,2090000000.0,,21.37,-0.21,597686
AXSM,396,Axsome Therapeutics Inc,Healthcare,Biotechnology,USA,7320000000.0,,145.28,-0.66,95854
BCYC,448,Bicycle Therapeutics Plc ADR,Healthcare,Biotechnology,United Kingdom,359560000.0,,7.21,-1.64,78693
BEEM,461,Beam Global,Technology,Solar,USA,32350000.0,,1.7,0.0,69714
BITF,497,Bitfarms Ltd,Financial,Capital Markets,Canada,1370000000.0,,2.42,-4.39,19493717
BLRX,527,Bioline Rx Ltd ADR,Healthcare,Biotechnology,Israel,13460000.0,,3.1,-2.55,16038
BMRA,541,Biomerica Inc,Healthcare,Medical Devices,USA,7010000.0,,2.38,-3.64,4316
BOOM,567,DMC Global Inc,Industrials,Conglomerates,USA,127900000.0,,6.21,-2.79,67895
BRTX,593,BioRestorative Therapies Inc,Healthcare,Biotechnology,USA,9850000.0,,1.11,0.0,19067
BYRN,673,Byrna Technologies Inc,Industrials,Aerospace & Defense,USA,405200000.0,26.6,17.83,2.12,77513
CDTX,761,Cidara Therapeutics Inc,Healthcare,Biotechnology,USA,6930000000.0,,220.33,0.1,637735
CENT,773,Central Garden & Pet Co,Consumer Defensive,Packaged Foods,USA,1940000000.0,13.24,33.81,0.13,11425
CENTA,774,Central Garden & Pet Co,Consumer Defensive,Packaged Foods,USA,1940000000.0,11.98,30.59,0.03,51616
CGC,794,Canopy Growth Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,646760000.0,,1.89,13.86,80012701
CLGN,849,CollPlant Biotechnologies Ltd,Healthcare,Biotechnology,Israel,20060000.0,,1.58,-5.56,13501
CLWT,868,"Euro Tech Holdings Co., Ltd",Industrials,Pollution & Treatment Controls,Hong Kong,8860000.0,12.23,1.16,-3.9,3490
COMM,915,CommScope Holding Company Inc,Technology,Communication Equipment,USA,4100000000.0,,18.49,-2.84,1980464
CPRX,943,Catalyst Pharmaceuticals Inc,Healthcare,Biotechnology,USA,2980000000.0,14.14,24.24,0.23,378318
CPSH,944,CPS Technologies Corporation,Technology,Electronic Components,USA,59600000.0,,3.32,0.45,29292
CPSS,945,"Consumer Portfolio Service, Inc",Financial,Credit Services,USA,211330000.0,11.89,9.57,1.0,2115
CRESY,960,Cresud ADR,Industrials,Conglomerates,Argentina,711410000.0,5.08,11.26,-4.09,115552
CRMD,966,CorMedix Inc,Healthcare,Biotechnology,USA,897010000.0,5.55,11.39,0.49,603120
CRNT,971,Ceragon Networks Ltd,Technology,Communication Equipment,Israel,176430000.0,130.66,1.99,0.81,272251
CRNX,972,Crinetics Pharmaceuticals Inc,Healthcare,Biotechnology,USA,4740000000.0,,49.97,1.31,164375
CUE,1018,Cue Biopharma Inc,Healthcare,Biotechnology,USA,33830000.0,,0.43,-7.1,186579
CVV,1033,CVD Equipment Corp,Industrials,Specialty Industrial Machinery,USA,21400000.0,,3.09,-1.75,24098
DDOG,1077,Datadog Inc,Technology,Software - Application,USA,49550000000.0,478.62,141.29,-0.54,1038436
DHC,1100,Diversified Healthcare Trust,Real Estate,REIT - Healthcare Facilities,USA,1190000000.0,,4.9,-0.29,161936
DNTH,1127,Dianthus Therapeutics Inc,Healthcare,Biotechnology,USA,1750000000.0,,40.85,-2.56,153165
DTSS,1163,Datasea Inc,Technology,Software - Infrastructure,China,9220000.0,,1.08,-3.04,19076
DXR,1201,Daxor Corp,Healthcare,Medical Instruments & Supplies,USA,63430000.0,35.07,12.79,-1.32,166
ELTK,1262,Eltek Ltd,Technology,Electronic Components,Israel,61110000.0,53.37,9.1,0.66,2944
ELVA,1265,"Electrovaya, Inc",Industrials,Electrical Equipment & Parts,Canada,314280000.0,82.79,6.61,-0.68,248212
ENPH,1287,Enphase Energy Inc,Technology,Solar,USA,4170000000.0,22.03,31.84,1.5,1805348
ESPR,1326,Esperion Therapeutics Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,886930000.0,,3.71,-1.85,1035252
EVER,1344,EverQuote Inc,Communication Services,Internet Content & Information,USA,991490000.0,19.27,27.58,1.75,66628
EVGN,1345,Evogene Ltd,Healthcare,Biotechnology,Israel,9010000.0,,1.03,-1.13,7687
EZPW,1378,"EZCorp, Inc",Financial,Credit Services,USA,1250000000.0,15.02,20.51,-0.07,179203
FGEN,1456,FibroGen Inc,Healthcare,Biotechnology,USA,38480000.0,0.24,9.51,-5.28,31905
FKWL,1487,Franklin Wireless Corp,Technology,Communication Equipment,USA,51500000.0,,4.37,0.23,4474
FORTY,1530,Formula Systems (1985) Ltd. ADR,Technology,Information Technology Services,Israel,2700000000.0,38.58,176.12,0.88,21
FRPT,1550,Freshpet Inc,Consumer Defensive,Packaged Foods,USA,3160000000.0,28.39,64.83,1.99,210041
GDC,1638,GD Culture Group Limited,Communication Services,Electronic Gaming & Multimedia,USA,203220000.0,51.27,3.63,-1.89,6430
GIFI,1672,"Gulf Island Fabrication, Inc",Industrials,Metal Fabrication,USA,190800000.0,21.78,11.93,0.05,22892
GWAV,1790,Greenwave Technology Solutions Inc,Industrials,Waste Management,USA,4980000.0,,6.01,-4.15,14513
HALO,1798,Halozyme Therapeutics Inc,Healthcare,Biotechnology,USA,7550000000.0,13.49,64.16,1.12,460343
HBIO,1806,Harvard Bioscience Inc,Healthcare,Medical Instruments & Supplies,USA,30480000.0,,0.68,-2.77,349449
HIND,1846,Vyome Holdings Inc,Healthcare,Biotechnology,USA,23310000.0,,4.13,0.73,11045
HNRG,1862,Hallador Energy Co,Energy,Thermal Coal,USA,916380000.0,,20.91,-1.41,72623
IBIO,1956,iBio Inc,Healthcare,Biotechnology,USA,42720000.0,,1.9,3.83,974534
IBRX,1961,ImmunityBio Inc,Healthcare,Biotechnology,USA,2150000000.0,,2.18,-1.81,4847883
IFRX,1999,InflaRx N.V,Healthcare,Biotechnology,Germany,69820000.0,,1.04,4.0,322629
INO,2066,Inovio Pharmaceuticals Inc,Healthcare,Biotechnology,USA,157670000.0,,2.3,1.55,413588
IPHA,2100,Innate Pharma ADR,Healthcare,Biotechnology,France,168670000.0,,1.83,-2.66,30604
KALA,2211,Kala Bio Inc,Healthcare,Biotechnology,USA,6220000.0,,0.58,-4.31,750036
KG,2236,Kestrel Group Ltd,Financial,Insurance Brokers,Bermuda,79820000.0,,10.31,-1.01,3913
KLXE,2249,KLX Energy Services Holdings Inc,Energy,Oil & Gas Equipment & Services,USA,29970000.0,,1.68,-4.0,27740
KMB,2250,Kimberly-Clark Corp,Consumer Defensive,Household & Personal Products,USA,34200000000.0,17.46,103.06,0.25,1658021
KPTI,2266,Karyopharm Therapeutics Inc,Healthcare,Biotechnology,USA,111510000.0,,6.54,-2.53,46628
KRRO,2275,Korro Bio Inc,Healthcare,Biotechnology,USA,75710000.0,,8.04,1.01,80702
LFMD,2339,LifeMD Inc,Healthcare,Health Information Services,USA,159570000.0,,3.32,1.38,458901
LINK,2370,Interlink Electronics,Technology,Electronic Components,USA,56080000.0,,3.56,3.21,9214
LIXT,2379,Lixte Biotechnology Holdings Inc,Healthcare,Biotechnology,USA,25020000.0,,3.99,0.0,25676
MDWD,2523,MediWound Ltd,Healthcare,Biotechnology,Israel,241170000.0,,18.81,-1.26,8015
MGYR,2561,Magyar Bancorp Inc,Financial,Banks - Regional,USA,111150000.0,11.03,17.23,0.19,54
MLKN,2585,MillerKnoll Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,1150000000.0,,16.73,0.54,198525
MOGO,2612,Mogo Inc,Technology,Software - Infrastructure,Canada,26490000.0,4.75,1.11,0.45,30281
MRSN,2635,Mersana Therapeutics Inc,Healthcare,Biotechnology,USA,144470000.0,,28.9,1.09,34730
MRUS,2637,Merus N.V,Healthcare,Biotechnology,Netherlands,7340000000.0,,96.79,-0.03,621296
NAII,2708,"Natural Alternatives International, Inc",Consumer Defensive,Packaged Foods,USA,19890000.0,,3.22,0.62,5944
NMIH,2788,NMI Holdings Inc,Financial,Insurance - Specialty,USA,3080000000.0,8.37,40.05,-0.2,83786
NNBR,2794,NN Inc,Industrials,Conglomerates,USA,61740000.0,,1.23,-2.38,130818
NNDM,2795,Nano Dimension Ltd ADR,Technology,Computer Hardware,Israel,395900000.0,,1.83,1.39,1796657
NSPR,2819,InspireMD Inc,Healthcare,Medical Devices,USA,81780000.0,,1.93,-2.03,11486
OCC,2896,Optical Cable Corp,Technology,Communication Equipment,USA,80720000.0,,9.1,8.33,41955
OTLK,2989,Outlook Therapeutics Inc,Healthcare,Biotechnology,USA,103230000.0,,2.32,7.1,1468760
OVID,2994,Ovid Therapeutics Inc,Healthcare,Biotechnology,USA,110670000.0,,1.55,-0.38,492435
PACB,3006,Pacific Biosciences of California Inc,Healthcare,Medical Devices,USA,611360000.0,,2.03,-4.48,2449402
PAVM,3024,PAVmed Inc,Healthcare,Medical Devices,USA,9300000.0,,0.31,0.29,108776
PEBK,3062,Peoples Bancorp Of North Carolina Inc,Financial,Banks - Regional,USA,207460000.0,12.4,38.0,0.74,2636
PERI,3072,Perion Network Ltd,Communication Services,Internet Content & Information,Israel,441160000.0,,9.8,-0.05,48448
PETS,3074,"Petmed Express, Inc",Healthcare,Pharmaceutical Retailers,USA,62720000.0,,2.93,2.26,824902
PRPH,3191,ProPhase Labs Inc,Healthcare,Diagnostics & Research,USA,5000000.0,,0.11,-4.24,291926
PRPO,3193,Precipio Inc,Healthcare,Diagnostics & Research,USA,42920000.0,,24.5,1.83,10829
PRQR,3194,ProQR Therapeutics N.V,Healthcare,Biotechnology,Netherlands,249350000.0,,2.37,-3.27,163638
PRTS,3199,CarParts.com Inc,Consumer Cyclical,Auto Parts,USA,27070000.0,,0.39,0.19,1188260
PSIX,3216,Power Solutions International Inc,Industrials,Specialty Industrial Machinery,USA,1470000000.0,12.16,63.91,-3.58,219574
PSNL,3220,Personalis Inc,Healthcare,Diagnostics & Research,USA,721980000.0,,8.13,-4.13,402804
PSTV,3223,Plus Therapeutics Inc,Healthcare,Biotechnology,USA,84890000.0,,0.62,-1.1,1802777
PTGX,3230,Protagonist Therapeutics Inc,Healthcare,Biotechnology,USA,5700000000.0,144.06,91.25,-3.74,173098
PTON,3238,Peloton Interactive Inc,Consumer Cyclical,Leisure,USA,2600000000.0,,6.23,-0.32,1728576
PXLW,3248,Pixelworks Inc,Technology,Semiconductors,USA,39150000.0,,6.22,3.32,36314
QMCO,3283,Quantum Corp,Technology,Computer Hardware,USA,107580000.0,,7.84,1.42,207735
QNST,3288,QuinStreet Inc,Communication Services,Advertising Agencies,USA,830840000.0,81.33,14.64,1.1,143805
QRVO,3319,Qorvo Inc,Technology,Semiconductors,USA,8060000000.0,37.65,87.19,-0.58,410128
RAIL,3342,FreightCar America Inc,Industrials,Railroads,USA,182590000.0,3.87,9.57,-1.24,61847
RCAT,3360,Red Cat Holdings Inc,Industrials,Aerospace & Defense,USA,895290000.0,,7.5,0.27,2531301
RNTX,3455,Rein Therapeutics Inc,Healthcare,Biotechnology,USA,35750000.0,,1.36,-8.11,181058
RVYL,3495,Ryvyl Inc,Technology,Software - Infrastructure,USA,10320000.0,,0.29,0.35,185401
SAVA,3524,Cassava Sciences Inc,Healthcare,Biotechnology,USA,136950000.0,,2.84,1.25,303899
SBET,3528,SharpLink Gaming Inc,Consumer Cyclical,Gambling,USA,1890000000.0,,9.62,1.16,3558982
SGBX,3592,Safe & Green Holdings Corp,Industrials,Metal Fabrication,USA,16960000.0,,2.75,-10.67,578752
SGLY,3596,Singularity Future Technology Ltd,Industrials,Integrated Freight & Logistics,USA,4170000.0,,0.57,-2.43,13308
SHIP,3607,Seanergy Maritime Holdings Corp,Industrials,Marine Shipping,Greece,203750000.0,13.26,9.65,-0.1,43235
SLGL,3655,Sol-Gel Technologies Ltd,Healthcare,Biotechnology,Israel,120400000.0,,43.22,1.05,3747
SLNO,3661,Soleno Therapeutics Inc,Healthcare,Biotechnology,USA,2670000000.0,,49.77,-0.36,287182
SNBR,3696,Sleep Number Corp,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,187790000.0,,8.24,0.73,232837
SONM,3729,Sonim Technologies Inc,Technology,Communication Equipment,USA,5570000.0,,5.11,-7.09,9132
SPWH,3765,Sportsman's Warehouse Holdings Inc,Consumer Cyclical,Specialty Retail,USA,55800000.0,,1.45,-3.33,246147
STIM,3803,Neuronetics Inc,Healthcare,Medical Devices,USA,113690000.0,,1.66,-5.68,557216
SURG,3830,Surgepays Inc,Communication Services,Telecom Services,USA,36930000.0,,1.75,6.36,245300
TACT,3862,Transact Technologies Inc,Technology,Computer Hardware,USA,41810000.0,,4.14,-1.55,5531
TLSA,3957,Tiziana Life Sciences Ltd,Healthcare,Biotechnology,United Kingdom,171090000.0,,1.53,-3.46,127408
TNXP,3975,Tonix Pharmaceuticals Holding Corp,Healthcare,Biotechnology,USA,217870000.0,,18.5,-1.91,154458
TRMD,4001,Torm Plc,Energy,Oil & Gas Midstream,United Kingdom,2040000000.0,7.27,20.1,-1.81,172608
TRVG,4016,Trivago NV ADR,Communication Services,Internet Content & Information,Germany,67510000.0,82.07,2.93,0.34,5933
TRVI,4017,Trevi Therapeutics Inc,Healthcare,Biotechnology,USA,1620000000.0,,12.62,0.08,470198
UNIT,4120,Uniti Group Inc,Real Estate,REIT - Specialty,USA,1780000000.0,1.47,7.45,-0.6,669622
UONE,4124,Urban One Inc,Communication Services,Broadcasting,USA,41710000.0,,1.15,0.0,6405
VIR,4215,Vir Biotechnology Inc,Healthcare,Biotechnology,USA,918840000.0,,6.6,-1.72,636565
VIRC,4216,Virco Manufacturing Corp,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,104870000.0,26.28,6.65,1.58,26332
VKTX,4221,Viking Therapeutics Inc,Healthcare,Biotechnology,USA,4030000000.0,,35.63,-1.44,764349
VMD,4226,Viemed Healthcare Inc,Healthcare,Medical Devices,USA,277530000.0,22.08,7.3,-0.95,51767
VRCA,4245,Verrica Pharmaceuticals Inc,Healthcare,Biotechnology,USA,76450000.0,,8.06,6.57,54700
VRDN,4246,Viridian Therapeutics Inc,Healthcare,Biotechnology,USA,3140000000.0,,32.9,-0.38,269859
VTRS,4276,Viatris Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,13280000000.0,,11.53,-1.11,2206227
WKSP,4339,Worksport Ltd,Consumer Cyclical,Auto Parts,USA,21710000.0,,2.63,5.62,752127
WORX,4352,SCWorx Corp,Healthcare,Health Information Services,USA,3330000.0,,0.21,-2.66,357223
