Ticker,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AAPL,13,Apple Inc,Technology,Consumer Electronics,USA,4047240000000.0,36.72,273.9,-0.08,11359586
ACWI,63,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,,,139.95,-1.3,1107397
AMKR,207,AMKOR Technology Inc,Technology,Semiconductor Equipment & Materials,USA,10050000000.0,32.78,40.67,-7.37,2100259
ATRO,352,Astronics Corp,Industrials,Aerospace & Defense,USA,1870000000.0,,52.58,0.52,129490
AVAV,368,AeroVironment Inc,Industrials,Aerospace & Defense,USA,11720000000.0,,234.66,-0.28,383619
BELFB,467,Bel Fuse Inc,Technology,Electronic Components,USA,2130000000.0,33.75,171.54,-1.01,38909
CAC,683,Camden National Corp,Financial,Banks - Regional,USA,776230000.0,13.07,45.87,0.42,26397
CACC,684,Credit Acceptance Corp,Financial,Credit Services,USA,5100000000.0,12.23,461.95,-0.45,33572
CCRN,744,"Cross Country Healthcares, Inc",Healthcare,Medical Care Facilities,USA,266180000.0,,8.13,-1.51,377201
CENX,775,Century Aluminum Co,Basic Materials,Aluminum,USA,2990000000.0,40.08,32.01,1.96,324394
CHRW,825,"C.H. Robinson Worldwide, Inc",Industrials,Integrated Freight & Logistics,USA,18650000000.0,32.01,157.9,0.19,353912
CLNE,855,Clean Energy Fuels Corp,Energy,Oil & Gas Refining & Marketing,USA,496610000.0,,2.26,0.2,288610
CME,876,CME Group Inc,Financial,Financial Data & Stock Exchanges,USA,97830000000.0,26.3,271.29,-0.33,558783
CNOB,889,ConnectOne Bancorp Inc,Financial,Banks - Regional,USA,1380000000.0,22.25,27.5,0.19,59627
CNXN,898,"PC Connection, Inc",Technology,Electronics & Computer Distribution,USA,1540000000.0,18.79,60.85,2.29,36321
COLB,912,"Columbia Banking System, Inc",Financial,Banks - Regional,USA,8660000000.0,13.02,28.94,-0.75,545378
CPB,935,Campbells Co,Consumer Defensive,Packaged Foods,USA,8580000000.0,14.89,28.77,1.79,2831896
CPRT,942,"Copart, Inc",Industrials,Specialty Business Services,USA,37830000000.0,23.97,39.08,1.07,2722924
CRAI,948,CRA International Inc,Industrials,Consulting Services,USA,1320000000.0,24.15,200.84,0.83,52909
CVLT,1030,Commvault Systems Inc,Technology,Software - Application,USA,5290000000.0,67.53,119.87,0.03,125661
ECPG,1221,"Encore Capital Group, Inc",Financial,Credit Services,USA,1210000000.0,,54.1,0.73,39641
