,Ticker,Company,Sector,Industry,mcap_2019,mcap_2020,mcap_2021,mcap_2022,mcap_2023,mcap_2024,pe_2019,pe_2020,pe_2021,pe_2022,pe_2023,pe_2024,dy_2019,dy_2020,dy_2021,dy_2022,dy_2023,dy_2024,pscore_2019,pscore_2020,pscore_2021,pscore_2022,pscore_2023,pscore_2024,azscore_2019,azscore_2020,azscore_2021,azscore_2022,azscore_2023,azscore_2024,fcfyield_2019,fcfyield_2020,fcfyield_2021,fcfyield_2022,fcfyield_2023,fcfyield_2024,roic_2019,roic_2020,roic_2021,roic_2022,roic_2023,roic_2024,rg_2019,rg_2020,rg_2021,rg_2022,rg_2023,rg_2024,ndebitda_2019,ndebitda_2020,ndebitda_2021,ndebitda_2022,ndebitda_2023,ndebitda_2024,gpm_2019,gpm_2020,gpm_2021,gpm_2022,gpm_2023,gpm_2024,epsdg_2019,epsdg_2020,epsdg_2021,epsdg_2022,epsdg_2023,epsdg_2024,Country
0,ACTG,Acacia Research Corp,Industrials,Business Equipment & Supplies,132668553,187365833,238772325,174133969,390813992,132668553,"-7,734282519","1,761705617","1,677849405","-1,429326525","4,401437787","-11,94189089",0,"0,007181725382","0,005800341283","0,01565797725","0,004743183417",0,7,7,7,7,7,7,"1,759764093","1,759764093","1,759764093","1,759764093","1,759764093","1,759764093","-0,0522088296","-0,1746011513","-0,03101904274","-0,2409281044","-0,09721832011","-0,2288610599","-0,1023017921","-0,03882301693","0,01603687937","-0,07642195162","0,0344820203","-0,04202089517","-0,9144829894","1,648230482","1,95638305","-0,3273706089","1,112388768","-0,02230180173","3,539361567","-0,3930069589","-0,6454088233","2,088578784","-3,872712827","-52,43723703","-0,6261781967","0,1664763951","0,5900144241","0,3686912179","0,5777125865","0,2424455491","0,8380952381","5,352941176","0,2905405405","-1,633507853","1,479338843","-1,620689655",USA
1,ADP,Automatic Data Processing Inc,Technology,Software - Application,73315000000,75025960000,103095098000,98959698000,95773967000,73315000000,"31,56823535","26,00519441","32,58483972","29,82968293","26,64921542","25,79053891","0,01786413723","0,02292576331","0,01860716022","0,01885982695","0,02093544739","0,02256058635",7,7,7,7,7,7,"2,767451399","2,767451399","2,767451399","2,767451399","2,767451399","2,767451399","0,02931486958","0,0375698772","0,03055802372","0,02894454815","0,03998806825","0,03714317231","0,2407096363","0,2424933215","0,2401791403","0,3664229395","0,4169970932","0,3937116676","0,06358936651","0,02924826457","0,02848565436","0,09949084996","0,09176096931","0,06608853999","0,08887008041","0,1168528","0,1975022891","0,4671660424","0,2594668802","0,1365344828","0,4670339748","0,4596156219","0,4647660176","0,468569489","0,4888631039","0,4994427838","0,2329411765","0,08782442748","0,06483983018","0,1537118192","0,1720740275","0,1089938839",USA
2,AHCO,AdaptHealth Corp,Healthcare,Medical Devices,460907460,4173254040,3278202580,2564249523,969497100,460907460,"-37,23974505","-12,1971471","19,7819418","37,20415921","-1,440572165","14,08238172","0,3145708992",0,0,0,0,0,6,6,6,6,6,6,"1,007171206","1,007171206","1,007171206","1,007171206","1,007171206","1,007171206","0,04918127266","0,07906822741","0,02342524487","-0,006807702755","0,1464247486","0,1851672216","0,0709687238","0,0472669222","0,03878475519","0,02944517437","-0,1372950192","0,04616848248","0,5339624391","0,9945265121","1,323514349","0,2102475622","0,07728485371","0,01899832416","4,248748753","-8,604946085","4,08111068","3,618742846","-12,96103828","3,21739082","0,167922227","0,1493654326","0,1815455881","0,1405193236","0,2130425911","0,2088617668","1,54491018","-8,235294118","1,544715447","-0,2537313433","-11,62","1,114877589",USA
3,ALGN,"Align Technology, Inc",Healthcare,Medical Instruments & Supplies,21930311680,42216020000,51747667559,16353396900,20742622000,21930311680,"50,05346487","23,69956259","67,17788925","45,60703095","47,05220277","37,05270829",0,0,0,0,0,0,7,7,7,7,7,7,"4,837207893","4,837207893","4,837207893","4,837207893","4,837207893","4,837207893","0,02696283042","0,01205238516","0,01487478257","0,01678759555","0,02903720043","0,03988130546","0,2799810846","0,1098102936","0,1842601744","0,0957980501","0,110339349","0,09992333706","0,2239032755","0,02706710498","0,5989799109","-0,05514089011","0,03417335295","0,03540724861","-0,8277124654","-1,81952699","-0,8975845268","-1,04526692","-1,014722391","-1,131993467","0,7245720036","0,7132997915","0,7426420286","0,7052295606","0,7008495026","0,6999626408","0,1239837398","3,05244123","-0,5676037483","-0,524251806","0,2603036876","-0,03270223752",USA
4,AMKR,AMKOR Technology Inc,Technology,Semiconductor Equipment & Materials,3131947000,3668466360,6058750370,5874068860,8177732730,3131947000,"25,77944047","10,77061945","9,402461326","7,661470705","22,71191858","17,88660045",0,"0,002652519894","0,008470929465","0,009393709829","0,00913920728","0,02820641057",4,4,4,4,4,4,"3,549179917","3,549179917","3,549179917","3,549179917","3,549179917","3,549179917","0,02933393231","0,05958666625","0,05648874206","0,03246144062","0,0636992444","0,05449591281","0,04671066517","0,1027728102","0,1496155723","0,1478760564","0,06840146715","0,06227634726","-0,06111851686","0,246243569",#ERROR!,"0,1552956839","-0,08298849975","-0,02850548165","0,9363609171","0,6410450603","0,4087798724","0,370851402","0,2332121772","0,2650207588","0,1602504534","0,1783582073","0,199655965","0,1875443924","0,1450320733","0,1477140703","-0,05660377358","1,8","0,8714285714","0,1870229008","-0,5305466238","-0,02054794521",USA
5,ANAB,AnaptysBio Inc,Healthcare,Biotechnology,443040000,588261500,963026750,881541540,569472120,443040000,"-4,517432553","-29,45128812","-16,49296412","-6,780657506","-3,524726005","-2,587448499",0,0,0,0,0,0,2,2,2,2,2,2,"0,1329554606","0,1329554606","0,1329554606","0,1329554606","0,1329554606","0,1329554606","-0,1599285655","-0,02508715497","-0,04960621387","-0,08472522275","-0,2108625615","-0,3611044192","-0,2629624711","-0,06013755657","-0,0903996334","-0,1965199346","-0,3945224675","-0,2610513455","0,6","8,375","-0,1576666667","-0,8371666007","0,6678331875","4,320277438","1,752441808","12,91110882","8,522852116","0,4926798218","0,1160401483","-2,65659234","-11,41725","-0,067","-0,5590977444","-7,632059881","-6,710147462","-0,7949167397","-0,44","0,7972222222","-1,890410959","-1,165876777","-0,3304157549","0,1578947368",USA
6,ANDE,Andersons Inc,Consumer Defensive,Food Distribution,827909003,813437880,1305997980,1176293820,1944517462,827909003,"45,14285655","106,565217","12,38849547","8,994858586","19,18","12,09552245","0,02676329834","0,02799841892","0,0184330425","0,02087195807","0,01307331184","0,01905173227",5,5,5,5,5,5,"4,910834422","4,910834422","4,910834422","4,910834422","4,910834422","4,910834422","0,09448467992","-0,2182498906","-0,1031298687","0,1249951165","0,4102932146","0,1322076952","0,01576498648","0,005319756263","0,005545004786","0,06581089341","0,1159688893","0,06102370835","1,682813191","-0,01292148494","0,5638740573","0,3737167233","-0,1486415539","-0,2367822021","5,306013291","6,909536578","2,50985529","2,063510883","0,06275180362","0,8740580343","0,06315066563","0,04994159675","0,03501722551","0,03870800209","0,05640241911","0,06105317073","-0,6232876712","-0,5818181818","12,34782609","0,2410423453","-0,2283464567","0,1292517007",USA
7,ARCC,Ares Capital Corp,Financial,Asset Management,8019499999,7245810000,10150010000,9493580000,11096620000,8019499999,"10,04230769","14,79619835","6,03110402","15,3301","7,290814717","8,974612352","0,08714706381","0,0948143928","0,0734334031","0,09915134278","0,09291117475","0,08338604444",4,4,4,4,4,4,"0,8691683259","0,8691683259","0,8691683259","0,8691683259","0,8691683259","0,8691683259","0,08551462601","0,1024944983","0,09893405173","0,0811040589","0,09011753128","0,09385505617","2,832142857","0,03054013125","0,07780922588","0,02728761142","0,06541453561","0,0546538351","-0,003574620197","-0,2304932735","1,389277389","-0,4165853659","0,8110367893","0,09279778393","8,548825711","16,59244533","6,757518797","18,43358779","7,402723735","8,228213166","0,7390134529","0,6305361305","0,8185365854","0,6195652174","0,7553093259","0,7215885087","-0,07462686567","-0,3870967742","2,078947368","-0,660968661","1,25210084","-0,08955223881",USA
8,ARKR,Ark Restaurants Corp,Consumer Cyclical,Restaurants,78406302,67248029,59763329,59615999,50708280,78406302,"26,45652093","-8,593216724","4,226289259","7,122728154","-9,257631579","-10,80459959","0,04916829867","0,04344048653",0,"0,01352372642","0,0410355537","0,04817706354",3,3,3,3,3,3,"-5872,622825","-5872,622825","-5872,622825","-5872,622825","-5872,622825","-5872,622825","0,1016417918","-0,17410947","0,1313075709","0,2669347612","0,08252665307","0,05200177124","0,0909412017","-0,0275647044","0,03493746513","0,045747057","0,03205585366","0,01815115266","0,0147759235","-0,344087611","0,2383322378","0,3928414347","0,006092315733","-0,006753502568","2,261124122","-28,64038069","3,259775525","5,849588523","148,1577287","144,7292724","0,1183832859","0,02561742887","0,1207249564","0,1241329747","0,09506312469","0,08360347599","-0,4198473282","-2,763157895","3,671641791","-0,2793296089","-1,639534884","0,3454545455",USA
9,AROW,Arrow Financial Corp,Financial,Banks - Regional,550264076,450888453,550156860,560491855,475035880,550264076,"15,06731688","11,32891542","11,31912329","11,47017931","15,82755711","16,17613148","0,02693006631","0,03403054659","0,02887633576","0,03116484337","0,0377783181","0,03805011849",9,9,9,9,9,9,"-0,6431246898","-0,6431246898","-0,6431246898","-0,6431246898","-0,6431246898","-0,6431246898","0,06403816043","0,08038905866","0,1082136076","0,08122261374","0,02835842273","0,06007782025","0,06595145199","0,08994514331","0,1044224063","0,1035753324","0,06235719528","0,06209841603","0,1025252686","0,04511473893","0,023278498","0,08538456858","0,1939096475","0,1637407985","5,632241622","-4,9938362","-5,365180673","0,5997502164","-1,604276866","-2,831082188","0,8280072878","0,8477178079","0,963040583","0,8996817171","0,6811734079","0,6035227084",0,"0,08558558559","0,2116182573","-0,02054794521","-0,3811188811",0,USA
