Ticker,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
ACTG,61,Acacia Research Corp,Industrials,Business Equipment & Supplies,USA,370830000.0,77.35,3.84,1.7,92206
ACWX,64,iShares MSCI ACWI ex US ETF,Financial,Exchange Traded Fund,USA,,,65.97,-2.06,676941
ALGN,164,"Align Technology, Inc",Healthcare,Medical Instruments & Supplies,USA,11740000000.0,31.69,163.55,0.51,335308
ANDE,228,Andersons Inc,Consumer Defensive,Food Distribution,USA,1900000000.0,26.18,56.02,-0.59,84661
BANR,415,Banner Corp,Financial,Banks - Regional,USA,2270000000.0,12.16,66.69,-0.35,35039
BOOM,567,DMC Global Inc,Industrials,Conglomerates,USA,127900000.0,,6.21,-2.79,67895
CASY,713,"Casey's General Stores, Inc",Consumer Cyclical,Specialty Retail,USA,20230000000.0,33.57,545.82,-0.2,54857
CBRL,723,Cracker Barrel Old Country Store Inc,Consumer Cyclical,Restaurants,USA,583540000.0,35.15,26.14,-1.82,426801
CENT,773,Central Garden & Pet Co,Consumer Defensive,Packaged Foods,USA,1940000000.0,13.24,33.81,0.13,11425
CENTA,774,Central Garden & Pet Co,Consumer Defensive,Packaged Foods,USA,1940000000.0,11.98,30.59,0.03,51616
CRESY,960,Cresud ADR,Industrials,Conglomerates,Argentina,711410000.0,5.08,11.26,-4.09,115552
CSCO,991,"Cisco Systems, Inc",Technology,Communication Equipment,USA,307930000000.0,29.39,77.93,-0.4,4095268
CVBF,1025,CVB Financial Corp,Financial,Banks - Regional,USA,2720000000.0,13.49,19.9,-1.44,239745
DXPE,1200,"DXP Enterprises, Inc",Industrials,Industrial Distribution,USA,1740000000.0,21.1,111.24,2.7,36012
ERII,1310,Energy Recovery Inc,Industrials,Pollution & Treatment Controls,USA,771530000.0,42.8,14.56,0.31,144895
EXTR,1371,Extreme Networks Inc,Technology,Communication Equipment,USA,2250000000.0,264.99,16.83,-0.55,139344
EZPW,1378,"EZCorp, Inc",Financial,Credit Services,USA,1250000000.0,15.02,20.51,-0.07,179203
GGAL,1665,Grupo Financiero Galicia ADR,Financial,Banks - Regional,Argentina,6530000000.0,9.0,49.32,-1.1,714628
HTLD,1904,"Heartland Express, Inc",Industrials,Trucking,USA,728830000.0,,9.41,-0.63,123574
IEUS,1995,iShares MSCI Europe Small-Cap ETF,Financial,Exchange Traded Fund,USA,,,67.1,-1.06,5355
INCY,2048,Incyte Corp,Healthcare,Biotechnology,USA,18990000000.0,16.23,96.72,-1.94,539243
JBLU,2167,Jetblue Airways Corp,Industrials,Airlines,USA,1810000000.0,,4.97,1.53,6700482
KG,2236,Kestrel Group Ltd,Financial,Insurance Brokers,Bermuda,79820000.0,,10.31,-1.01,3913
KMB,2250,Kimberly-Clark Corp,Consumer Defensive,Household & Personal Products,USA,34200000000.0,17.46,103.06,0.25,1658021
LBTYA,2313,Liberty Global Ltd,Communication Services,Telecom Services,Bermuda,3690000000.0,,11.0,-1.92,429107
LKQ,2381,LKQ Corp,Consumer Cyclical,Auto Parts,USA,7710000000.0,11.19,30.14,-1.26,865319
LULU,2442,Lululemon Athletica inc,Consumer Cyclical,Apparel Retail,Canada,25000000000.0,14.25,204.19,-1.02,1882213
