Ticker,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
ACGL,45,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,34590000000.0,8.93,95.38,-0.35,541422
ADEA,70,Adeia Inc,Technology,Software - Application,USA,1420000000.0,19.99,12.98,1.06,128990
ADI,72,Analog Devices Inc,Technology,Semiconductors,USA,137130000000.0,61.29,280.05,-0.14,1171753
AIA,127,iShares Asia 50 ETF,Financial,Exchange Traded Fund,USA,,,92.24,-1.84,70486
AMAT,194,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,USA,204830000000.0,29.78,258.32,-1.13,1669658
AMZN,224,Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,2385740000000.0,31.53,223.17,0.28,12641870
ATLO,342,Ames National Corp,Financial,Banks - Regional,USA,212210000.0,13.27,23.86,0.13,4981
AVGO,374,Broadcom Inc,Technology,Semiconductors,USA,1610630000000.0,71.67,341.07,0.37,25327641
BND,547,Vanguard Total Bond Market ETF,Financial,Exchange Traded Fund,USA,,,74.21,0.12,3197989
BSET,609,Bassett Furniture Industries Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,148530000.0,19.15,17.1,-1.04,2379
CDNS,757,"Cadence Design Systems, Inc",Technology,Software - Application,USA,87620000000.0,83.06,321.89,1.09,685262
CHI,814,Calamos Convertible Opportunities and Income Fund,Financial,Closed-End Fund - Debt,USA,816290000.0,14.76,10.48,-0.26,135573
COLM,914,Columbia Sportswear Co,Consumer Cyclical,Apparel Manufacturing,USA,3030000000.0,16.9,56.18,-1.51,87211
COST,928,Costco Wholesale Corp,Consumer Defensive,Discount Stores,USA,380310000000.0,45.89,856.63,-0.46,1681585
CTAS,1002,Cintas Corporation,Industrials,Specialty Business Services,USA,75480000000.0,41.74,187.83,-0.33,631827
DSGX,1153,Descartes Systems Group Inc,Technology,Software - Application,Canada,7740000000.0,50.68,89.98,0.68,124250
EEFT,1231,Euronet Worldwide Inc,Technology,Software - Infrastructure,USA,3210000000.0,11.15,76.41,-0.5,172169
EWBC,1356,"East West Bancorp, Inc",Financial,Banks - Regional,USA,15740000000.0,12.62,114.4,0.68,243460
FAD,1384,First Trust Multi Cap Growth AlphaDEX Fund,Financial,Exchange Traded Fund,USA,,,162.01,-0.28,2608
FLWS,1498,1-800 Flowers.com Inc,Consumer Cyclical,Specialty Retail,USA,295920000.0,,4.65,8.09,1338001
