,Ticker,Company,Sector,Industry,mcap_2019,mcap_2020,mcap_2021,mcap_2022,mcap_2023,mcap_2024,pe_2019,pe_2020,pe_2021,pe_2022,pe_2023,pe_2024,dy_2019,dy_2020,dy_2021,dy_2022,dy_2023,dy_2024,pscore_2019,pscore_2020,pscore_2021,pscore_2022,pscore_2023,pscore_2024,azscore_2019,azscore_2020,azscore_2021,azscore_2022,azscore_2023,azscore_2024,fcfyield_2019,fcfyield_2020,fcfyield_2021,fcfyield_2022,fcfyield_2023,fcfyield_2024,roic_2019,roic_2020,roic_2021,roic_2022,roic_2023,roic_2024,rg_2019,rg_2020,rg_2021,rg_2022,rg_2023,rg_2024,ndebitda_2019,ndebitda_2020,ndebitda_2021,ndebitda_2022,ndebitda_2023,ndebitda_2024,gpm_2019,gpm_2020,gpm_2021,gpm_2022,gpm_2023,gpm_2024,epsdg_2019,epsdg_2020,epsdg_2021,epsdg_2022,epsdg_2023,epsdg_2024,Country
0,ADEA,Adeia Inc,Technology,Software - Application,244231049,583403940,521230000,996679800,1328728380,244231049,"-3,841304974","3,121415625","-9,442901708","-3,342927133","19,59573799","23,50378441","0,1644568121","0,06729676939","0,0400611066","0,2060609766","0,01616341037","0,01433090665",7,7,7,7,7,7,"2,965363534","2,965363534","2,965363534","2,965363534","2,965363534","2,965363534","0,6492176415","0,8061226985","0,4213548479","0,1720312321","0,1109010375","0,1386806715","-0,04874151639","0,07817265523","0,01098048757","0,1398651075","0,1145828472","0,1082205279","-0,3104057045","2,185023584","-0,01605793592","-0,4999031555","-0,1142429482","-0,03283023139","5,946048907","2,161382508","2,938558819","2,308486307","2,276338805","1,968920849","0,5889305059","0,7162608462","0,5967168587","0,7397757744","0,7549461403","0,806451184","-214,2542373","2,377952756","-1,302857143","-4,358490566","1,211267606","-0,05",USA
1,ADP,Automatic Data Processing Inc,Technology,Software - Application,73315000000,75025960000,103095098000,98959698000,95773967000,73315000000,"31,56823535","26,00519441","32,58483972","29,82968293","26,64921542","25,79053891","0,01786413723","0,02292576331","0,01860716022","0,01885982695","0,02093544739","0,02256058635",7,7,7,7,7,7,"2,767451399","2,767451399","2,767451399","2,767451399","2,767451399","2,767451399","0,02931486958","0,0375698772","0,03055802372","0,02894454815","0,03998806825","0,03714317231","0,2407096363","0,2424933215","0,2401791403","0,3664229395","0,4169970932","0,3937116676","0,06358936651","0,02924826457","0,02848565436","0,09949084996","0,09176096931","0,06608853999","0,08887008041","0,1168528","0,1975022891","0,4671660424","0,2594668802","0,1365344828","0,4670339748","0,4596156219","0,4647660176","0,468569489","0,4888631039","0,4994427838","0,2329411765","0,08782442748","0,06483983018","0,1537118192","0,1720740275","0,1089938839",USA
2,ALDX,Aldeyra Therapeutics Inc,Healthcare,Biotechnology,169715265,313028042,233191444,407578142,207777788,169715265,"-2,589651306","-6,204623781","-3,741473741","-6,553928718","-5,510817737","-5,314618581",0,0,0,0,0,0,2,2,2,2,2,2,"-3,735740557","-3,735740557","-3,735740557","-3,735740557","-3,735740557","-3,735740557","-0,2856370578","-0,1609114474","-0,1969007063","-0,1393672845","-0,1465809767","-0,1455677485","-0,9826119366","-0,4573983542","-0,253705062","-0,3751222791","-0,3025334743","-0,6965416852",0,0,0,0,0,0,"0,4829547341","1,733471176","3,835977656","2,136363148","3,611809547","0,7307622759",0,0,0,0,0,0,"-0,251396648","0,5044642857","0,03603603604","0,009345794393","0,3962264151","-0,46875",USA
3,ALNT,Allient Inc,Technology,Electronic Components,687705750,731036548,530090230,545507510,484296479,687705750,"40,16592947","53,34542981","21,82827135","30,92442809","20,01254223","30,4818563","0,001711265734","0,001593862642","0,002606808958","0,002856373082","0,003786478841","0,00493615983",6,6,6,6,6,6,"4,143653355","4,143653355","4,143653355","4,143653355","4,143653355","4,143653355","0,02873756337","0,0212519599","0,0222196714","-0,01918009893","0,0693323768","0,08015217226","0,08011630254","0,05544656348","0,06556542813","0,04599702498","0,06765073737","0,04477517155","0,1946904649","-0,01183020556","0,1004161508","0,2465131494","0,1503932499","-0,08410497828","2,584116627","3,030095901","3,460072881","4,014069892","3,150913613","3,80101704","0,3033922239","0,2960915641","0,3000029739","0,312649606","0,3174424593","0,3126434049","0,06194690265","-0,2083333333","0,7473684211","-0,343373494","0,3577981651","-0,4662162162",USA
4,ALRM,Alarm.com Holdings Inc,Technology,Software - Application,2093737528,5127177210,4257986040,2463201286,3219268109,2093737528,"38,87331368","65,04452534","80,93271154","43,84873722","39,72296324","24,3177285",0,0,0,0,0,0,6,6,6,6,6,6,"2,684897657",#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,"0,01335366174","0,0161124461","0,02074329741","0,01144007861","0,0378315803","0,06503172487","0,0932201401","0,08265053168","0,05532040679","0,04263948207","0,04300359002","0,05049758089","0,1946971895","0,2301921121","0,2119180651","0,1249584429","0,04643354353","0,06594781338","-0,1272642572","-0,8617373468","-2,360468287","-0,9003854975","-1,175972485","-0,8354262717","0,6345292149","0,6319953139","0,591573216","0,5934041414","0,6312060357","0,6529691103","1,465116279","0,4433962264","-0,339869281","0,05940594059","0,4299065421","0,4967320261",USA
5,AMCX,AMC Networks Inc,Communication Services,Entertainment,2191341500,1499836100,1473343200,678949760,825839290,2191341500,"5,834899313","7,604175032","5,821772255","89,00782855","3,822027485","-1,941928792",0,0,0,0,0,0,5,5,5,5,5,5,"1,849848929","1,849848929","1,849848929","1,849848929","1,849848929","1,849848929","0,1766336839","0,3847680385","0,06916245936","0,2035165269","0,2048695672","0,7520181335","0,1073941917","0,0631697828","0,07694443201","-0,007058489158","0,06402684309","-0,01070417236","0,02974229869","-0,08017622988","0,09330589892","0,006153155308","-0,1242249023","-0,1071446087","1,468131892","1,468727256","1,416958895","1,630050385","1,307606193","1,683784463","0,5075728984","0,5020913293","0,534676606","0,5104537476","0,5104866482","0,5322403455","-0,1188903567","-0,3043478261","0,2435344828","-0,9705372617","27,82352941","-1,918367347",USA
6,APLS,Apellis Pharmaceuticals Inc,Healthcare,Biotechnology,2257306400,4531326800,4625948436,5720625590,7256947520,2257306400,"-6,253398839","-12,46636047","-5,347897754","-8,413662255","-13,43868482","-19,9810416",0,0,0,0,0,0,7,7,7,7,7,7,"0,447711223","0,447711223","0,447711223","0,447711223","0,447711223","0,447711223","-0,1116942344","-0,03858979119","-0,1413602954","-0,09390458364","-0,0838263717","-0,02232505668","-0,8832073794","-0,2556754358","-0,7112115783","-0,9939505075","-0,9443787004","-0,2335837009",0,0,"-0,734434222","0,133091958","4,258293336","0,9702086028","0,6523926974","0,6022649752","0,58798062","0,7112003758","0,4851608708","-0,3785333402",0,"0,9000582495","0,9218785211","0,9252737928","0,8524676556","0,8493371233","-1,128205128","0,07831325301","-0,9259259259","0,3042986425","0,2764227642","0,6404494382",USA
7,AVDL,Avadel Pharmaceuticals plc,Healthcare,Drug Manufacturers - Specialty & Generic,309980350,390399240,474457600,452740590,1341668280,309980350,"-8,499146753","50,37183836","-6,116240996","-3,130077984","-7,063171529","-20,47698046",0,0,0,0,0,0,4,4,4,4,4,4,"8,925250301","8,925250301","8,925250301","8,925250301","8,925250301","8,925250301","-0,1358179825","-0,1379383282","-0,163513917","-0,1650579827","-0,1135199143","-0,04691019412","-0,1788568433","-0,02707618279","-0,3126375475","-0,8524563224","-1,067111723","-0,3637192928","-0,4265946218","-0,6228320527",-1,0,0,"5,047884705","-4,864947275","6,123932514","-1,144535612","-0,5844125241","0,1914031852","1,396395637","0,7952376932","0,7429031969",0,0,"0,9697457354","0,9096660892","0,6509803922","1,146067416","-11,15384615","-0,7348484848","0,1266375546","0,745",Ireland
8,AVGO,Broadcom Inc,Technology,Semiconductors,125768000000,178671958000,274144800000,233703800000,504567600000,125768000000,"44,56314244","47,71033784","32,14385392","16,72648108","24,79331771","132,2095335","0,03488755252","0,03918636252","0,02869005778","0,03657339722","0,02189669172","0,01259213791",8,8,8,8,8,8,"12,18182252","12,18182252","12,18182252","12,18182252","12,18182252","12,18182252","0,07632424417","0,08212566544","0,06152290078","0,08483863133","0,0505041681","0,0249096969","0,05433805084","0,05692890269","0,1217662571","0,1971300976","0,2252156098","0,05574742683","0,08389293937","0,05713147763","0,1491125251","0,2095810565","0,07878806132","0,4398503587","2,935456565","3,062561798","1,913416377","1,438893239","1,238639681","2,438041794","0,5524184626","0,5658070998","0,6136247723","0,665451917","0,6892989754","0,6303369915","-0,7746478873","-0,015625","1,380952381","0,7666666667","0,2452830189","-0,6272727273",USA
9,AXSM,Axsome Therapeutics Inc,Healthcare,Biotechnology,3830661756,3049377291,1447849249,3351090943,3766977349,3830661756,"-51,44961876","-29,45802477","-10,89875747","-16,75693743","-15,1121169","-14,11482487",0,0,0,0,0,0,4,4,4,4,4,4,"6,450576255","6,450576255","6,450576255","6,450576255","6,450576255","6,450576255","-0,01319305365","-0,02589773223","-0,07636621013","-0,03737906492","-0,04028940012","-0,03174146217","-0,3384979793","-0,604826202","-1,908569822","-0,7639967706","-0,5144247519","-0,8211971316",0,0,0,0,"4,407998081","0,4253252033","2,976311488","1,333381324","0,2949720134","0,6052441034","0,8881288585","0,4489956127",0,0,0,"0,8961168735","0,903677014","0,9136541239","-0,7826086957","-0,3804878049","-0,2261484099","-0,325648415","-0,1456521739","-0,1366223909",USA
