Ticker,Company,Sector,Industry,mcap_2019,mcap_2020,mcap_2021,mcap_2022,mcap_2023,mcap_2024,pe_2019,pe_2020,pe_2021,pe_2022,pe_2023,pe_2024
ABTC,American Bitcoin Corp,Financial,Capital Markets,72051612,71255790,1406613022,382311622,654149561,72051612,#ERROR!,"-170387,0306","-99626,44106","-590,4690362","866,7065807","4,257666456"
ABVC,ABVC BioPharma Inc,Healthcare,Biotechnology,64019882,126442607,117407883,98588431,71197632,64019882,"-20,99761759","-10,26939238","-6,615209116","-1,205024934","-0,6457783399","-1,404817375"
ACB,Aurora Cannabis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,2369603808,1385414364,1072321888,314733770,225731542,2369603808,"-33,55970997","-0,504871986","-2,738412917","-0,2126019564","-0,3722980328","-4,309114015"
ACET,Adicet Bio Inc,Healthcare,Biotechnology,3097146112,5844532937,12923140206,5957806243,1301389679,3097146112,"-6,87936675","-2,804018082","-8,731645323","-5,262326619","-0,5702460867","-0,7216110063"
ACTG,Acacia Research Corp,Industrials,Business Equipment & Supplies,132668553,187365833,238772325,174133969,390813992,132668553,"-7,734282519","1,761705617","1,677849405","-1,429326525","4,401437787","-11,94189089"
AHG,Akso Health Group ADR,Healthcare,Medical Distribution,45724648,13383680,15222817,"2790834,43",15386021,45724648,"31,94325792","-0,2876192271","-0,2742280515","-0,6643332119","-1,98968022","-2,508542658"
AIRT,Air T Inc,Industrials,Conglomerates,58072299,71761800,72281100,69451408,47691799,58072299,"45,73461841","4,560528997","-9,400419273","5,995607613","-5,798609451","-8,684628245"
AIXC,AIxCrypto Holdings Inc,Technology,Software - Infrastructure,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,"-2,063770003","-1,753795314","-0,2655580741","-0,2094530369","-0,2432073522"
AKRO,Akero Therapeutics Inc,Healthcare,Biotechnology,632688345,896402295,740366346,2562490908,1301008902,632688345,"-7,6464441","-10,25068567","-7,309199448","-19,06907345","-8,088237271","-7,409922229"
ALDX,Aldeyra Therapeutics Inc,Healthcare,Biotechnology,169715265,313028042,233191444,407578142,207777788,169715265,"-2,589651306","-6,204623781","-3,741473741","-6,553928718","-5,510817737","-5,314618581"
ALM,Almonty Industries Inc,Basic Materials,Other Industrial Metals & Mining,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
ALOT,AstroNova Inc,Technology,Computer Hardware,96822040,75870600,97699500,93970600,120941880,96822040,"23,99343455","49,6751336","59,64261682","15,40273448","36,38397219","27,8496911"
