year,Exchange Traded Fund,Banks - Regional,Closed-End Fund - Debt,Biotechnology,Closed-End Fund - Equity,Software - Application,Asset Management,Medical Devices,Specialty Industrial Machinery,Oil & Gas E&P,Others
2014,22.07,7.79,5.47,3.05,2.75,1.73,1.47,1.14,1.43,1.25,51.85
2015,24.01,7.42,5.38,3.04,2.62,1.72,1.52,1.17,1.38,1.21,50.53
2016,25.67,7.11,5.23,2.96,2.7,1.65,1.65,1.18,1.38,1.25,49.23
2017,26.67,6.95,5.31,3.2,2.61,1.74,1.71,1.27,1.37,1.27,47.9
2018,27.7,6.59,5.28,3.46,2.52,1.7,1.73,1.23,1.29,1.26,47.25
2019,28.47,6.32,5.03,4.01,2.45,1.79,1.87,1.29,1.21,1.18,46.39
2020,29.6,6.07,4.74,4.46,2.38,1.81,1.79,1.3,1.19,1.14,45.52
2021,31.04,5.85,4.56,4.64,2.29,1.8,1.73,1.33,1.13,1.13,44.49
2022,32.45,5.74,4.33,4.86,2.15,1.74,1.67,1.37,1.09,1.11,43.49
2023,33.72,5.62,4.1,5.19,2.02,1.74,1.63,1.52,1.04,1.11,42.31
2024,34.94,5.46,3.94,5.39,1.96,1.86,1.63,1.51,0.98,1.06,41.25
