Ticker,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AACG,2,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,28400000.0,,0.89,4.09,1317
ACIC,48,American Coastal Insurance Corp,Financial,Insurance - Property & Casualty,USA,619560000.0,7.33,12.7,-0.9,23414
ALOT,181,AstroNova Inc,Technology,Computer Hardware,USA,60650000.0,,7.94,-0.63,8407
AZN,401,Astrazeneca plc ADR,Healthcare,Drug Manufacturers - General,United Kingdom,281560000000.0,30.12,90.81,-0.82,1825749
BMRA,541,Biomerica Inc,Healthcare,Medical Devices,USA,7010000.0,,2.38,-3.64,4316
BYRN,673,Byrna Technologies Inc,Industrials,Aerospace & Defense,USA,405200000.0,26.6,17.83,2.12,77513
CHMG,816,Chemung Financial Corp,Financial,Banks - Regional,USA,283700000.0,21.36,59.17,-0.21,1036
CLWT,868,"Euro Tech Holdings Co., Ltd",Industrials,Pollution & Treatment Controls,Hong Kong,8860000.0,12.23,1.16,-3.9,3490
CRIS,965,Curis Inc,Healthcare,Biotechnology,USA,15390000.0,,1.19,0.0,30244
CZFS,1049,"Citizens Financial Services, Inc",Financial,Banks - Regional,USA,296940000.0,8.7,61.78,0.57,1887
EVO,1349,Evotec SE ADR,Healthcare,Drug Manufacturers - Specialty & Generic,Germany,1060000000.0,,2.99,0.34,126230
FIEE,1470,FiEE Inc,Technology,Communication Equipment,Hong Kong,17570000.0,,2.79,-1.76,13031
FRAF,1539,Franklin Financial Services Corp,Financial,Banks - Regional,USA,253690000.0,16.17,56.64,0.68,18927
FSFG,1558,First Savings Financial Group Inc,Financial,Banks - Regional,USA,232130000.0,9.97,33.09,-0.15,2773
INTZ,2080,Intrusion Inc,Technology,Software - Infrastructure,USA,26330000.0,,1.31,1.55,50092
IPM,2102,Intelligent Protection Management Corp,Technology,Software - Application,USA,16260000.0,,1.79,0.0,17309
KRMD,2270,KORU Medical Systems Inc,Healthcare,Medical Instruments & Supplies,USA,269360000.0,,5.82,0.09,46038
LDWY,2325,Lendway Inc,Communication Services,Advertising Agencies,USA,5920000.0,,3.35,-1.25,6092
LIXT,2379,Lixte Biotechnology Holdings Inc,Healthcare,Biotechnology,USA,25020000.0,,3.99,0.0,25676
NOTV,2802,Inotiv Inc,Healthcare,Diagnostics & Research,USA,23150000.0,,0.67,-4.21,233648
ORKA,2970,Oruka Therapeutics Inc,Healthcare,Biotechnology,USA,1430000000.0,,29.61,-1.63,134089
OVLY,2995,Oak Valley Bancorp,Financial,Banks - Regional,USA,257770000.0,10.8,30.73,0.42,2932
PEBK,3062,Peoples Bancorp Of North Carolina Inc,Financial,Banks - Regional,USA,207460000.0,12.4,38.0,0.74,2636
PSTV,3223,Plus Therapeutics Inc,Healthcare,Biotechnology,USA,84890000.0,,0.62,-1.1,1802777
RCAT,3360,Red Cat Holdings Inc,Industrials,Aerospace & Defense,USA,895290000.0,,7.5,0.27,2531301
RFIL,3407,RF Industries Ltd,Industrials,Electrical Equipment & Parts,USA,63150000.0,,5.92,0.17,23390
SCWO,3549,374Water Inc,Industrials,Pollution & Treatment Controls,USA,37040000.0,,0.22,9.18,1155604
SLNH,3660,Soluna Holdings Inc,Financial,Capital Markets,USA,135540000.0,,1.38,-3.85,2634595
SSKN,3784,STRATA Skin Sciences Inc,Healthcare,Medical Devices,USA,7800000.0,,1.33,-2.57,34193
STRT,3818,Strattec Security Corp,Consumer Cyclical,Auto Parts,USA,333110000.0,13.9,79.59,-0.43,12168
TATT,3871,TAT Technologies Ltd,Industrials,Aerospace & Defense,Israel,507920000.0,29.44,39.22,0.38,20433
TAYD,3878,Taylor Devices Inc,Industrials,Specialty Industrial Machinery,USA,178270000.0,20.88,56.64,-1.41,3413
TSBK,4019,"Timberland Bancorp, Inc",Financial,Banks - Regional,USA,292690000.0,10.13,37.14,-0.83,10902
UONE,4124,Urban One Inc,Communication Services,Broadcasting,USA,41710000.0,,1.15,0.0,6405
WFCF,4322,Where Food Comes From Inc,Industrials,Specialty Business Services,USA,61440000.0,23.54,12.02,-4.83,951
