,Ticker,Company,Sector,Industry,mcap_2019,mcap_2020,mcap_2021,mcap_2022,mcap_2023,mcap_2024,pe_2019,pe_2020,pe_2021,pe_2022,pe_2023,pe_2024,dy_2019,dy_2020,dy_2021,dy_2022,dy_2023,dy_2024,pscore_2019,pscore_2020,pscore_2021,pscore_2022,pscore_2023,pscore_2024,azscore_2019,azscore_2020,azscore_2021,azscore_2022,azscore_2023,azscore_2024,fcfyield_2019,fcfyield_2020,fcfyield_2021,fcfyield_2022,fcfyield_2023,fcfyield_2024,roic_2019,roic_2020,roic_2021,roic_2022,roic_2023,roic_2024,rg_2019,rg_2020,rg_2021,rg_2022,rg_2023,rg_2024,ndebitda_2019,ndebitda_2020,ndebitda_2021,ndebitda_2022,ndebitda_2023,ndebitda_2024,gpm_2019,gpm_2020,gpm_2021,gpm_2022,gpm_2023,gpm_2024,epsdg_2019,epsdg_2020,epsdg_2021,epsdg_2022,epsdg_2023,epsdg_2024,Country
0,AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,18882362,17164608,16799000,21348287,17865981,18882362,"-0,9839950543","-1,31927847","-3,168559272","-2,869363956","-3,811513022","-2,694134318",0,0,0,0,0,0,4,4,4,4,4,4,"-1,616828031","-1,616828031","-1,616828031","-1,616828031","-1,616828031","-1,616828031","-0,4917929571","-0,2695260387","-0,3403210054","-0,1181193909","0,05075254525","-0,2403014148","-1,782996247","-0,3005207877","-0,2482814318","-0,253669062","-0,2338043065","-0,3033551092","72,03955724","0,6586608367","0,2469169618","0,02280510954","0,07155029236","0,2095535072","0,1826459684","0,8723921888","0,706163912","0,5450953818","1,92503491","0,07003932405","0,1884505322","0,3560651688","0,5182524468","0,4956222069","0,5173618939","0,5269902261","-1,144109589","0,4030418251","0,6337579618","-0,3217391304","0,2894736842","-0,06481481481",China
1,ABVC,ABVC BioPharma Inc,Healthcare,Biotechnology,64019882,126442607,117407883,98588431,71197632,64019882,"-20,99761759","-10,26939238","-6,615209116","-1,205024934","-0,6457783399","-1,404817375",0,0,0,0,0,0,4,4,4,4,4,4,"-2,964535941","-2,964535941","-2,964535941","-2,964535941","-2,964535941","-2,964535941","-0,04099101054","-0,04538986122","-0,08966317592","-0,3798851085","-0,8366977151","-0,2626651286","-0,7610444075","-0,6606194033","-0,9578897237","-1,886132562","-1,673401174","-1,166864359","99,87967223","-0,3116261637","-0,2634288731","1,725663791","-0,8428205073","2,343101752","-1,276959364","-0,1706575026","0,2268479124","-0,133130076","-0,3240941831","-0,5388089959","0,971303328","0,9612541275","0,985705332","0,7046607334","-0,9814800236","0,9985027149","0,552238806","-1,380952381","-0,02","-0,01960784314","0,6538461538","0,7666666667",USA
2,AGPU,Axe Compute Inc,Healthcare,Health Information Services,190515645,388164960,940115232,362530467,200495972,190515645,"-5,706911733","-4,962939875","-39,66669492","-13,189868","-14,16858995","-5,497758592",0,0,0,0,"0,000004007407258",0,3,3,3,3,3,3,"-235,1699233","-235,1699233","-235,1699233","-235,1699233","-235,1699233","-235,1699233","-0,07915188848","-0,09822702162","-0,01689195548","-0,03784213667","-0,06667699836","-0,1783728918","-1,31530498","-2,897326706","-0,4800387173","-1,186248141","-1,095485314","-5,60465301","-0,00006375495429","-0,112848505","0,1344819656","0,05967494439","0,08119649888","-0,002383736039","-0,4463939628","-0,4534716051","2,252303738","1,568740147","0,5055507697","-0,1363072342","0,6232479553","0,6428954732","0,6571895149","0,664483058","0,6257214948","0,491237621","0,1283354511","0,6774781341","0,8372881356","0,03055555556","0,5014326648","0,3563218391",USA
3,AHG,Akso Health Group ADR,Healthcare,Medical Distribution,45724648,13383680,15222817,"2790834,43",15386021,45724648,"31,94325792","-0,2876192271","-0,2742280515","-0,6643332119","-1,98968022","-2,508542658","0,1106075936",0,0,0,0,0,3,3,3,3,3,3,"32,89096445","32,89096445","32,89096445","32,89096445","32,89096445","32,89096445","-0,01514122255","-2,743440649","1,053183674","-0,7712486623","-1,202352613","0,05694763518","-0,04900835292","-0,6986506846","-0,9955338765","-0,2653893808","-1,613985766","-0,06240267507","-0,965548281","0,8711956564","-0,7461939983","2,418930046","1,196926833","-0,8168397506","5,503342829","-0,3183000234","0,1774674816","5,785127409","0,5554461099","9,860340656",1,1,"0,6896910712","0,1008556667","0,09627008516","0,0505861234","-0,9247572816","-15,12903226","0,9794520548","-8,444444444","0,9764705882","-5,5",China
4,AIHS,Senmiao Technology Ltd,Industrials,Rental & Leasing Services,18775678,50443973,21189863,"6951217,6","3871757,1",18775678,"-1,414207536","-5,328468817","-24,55689663","-2,033653734","-2,106502167","-2,513589513",0,0,0,0,0,0,4,4,4,4,4,4,"-15,96923252","-15,96923252","-15,96923252","-15,96923252","-15,96923252","-15,96923252","-0,6043515874","-0,1168900466","-0,950460919","-0,09785705743","-0,08597019623","0,05325790124","-0,6584520617","-0,936609128","-0,7944603477","-0,6437237202","-0,8973336308","-4,05541557","5,136777093","-0,8601878245","1,244614499","0,6450938735","-0,4655089988","-0,2154982221","-2,82988524","0,4019970455","0,02249155507","0,3490475882","0,06728131096","0,2128313569","0,2155996825","0,09354772391","-0,425025778","0,1846595007","0,2140565658","0,2507479924","0,1193181818","-1,064516129","0,69375","0,5612244898","0,04651162791","0,1951219512",China
5,AIRT,Air T Inc,Industrials,Conglomerates,58072299,71761800,72281100,69451408,47691799,58072299,"45,73461841","4,560528997","-9,400419273","5,995607613","-5,798609451","-8,684628245",0,0,0,0,0,0,5,5,5,5,5,5,"2,182492877","2,182492877","2,182492877","2,182492877","2,182492877","2,182492877","0,007622312193","-1,82629962","-0,114374509","-0,5287240537","0,2206500036","0,2718991808","0,06302340758","0,05664540489","-0,05466814438","0,04328418397","-0,02660011106","0,00863122674","0,2843682874","-0,05223249451","-0,2604219017","0,01116942","0,3966974819","0,1597546528","2,703610592","7,010239175","-19,65409533","6,896381579","177,7516869","21,35273911","0,1859712253","0,1987161349","0,1808520966","0,2224004247","0,1974139081","0,1826073617","-0,4054054054","1,568181818","-3,238938053","2,494071146","-2,142857143","0,4398148148",USA
6,AIXC,AIxCrypto Holdings Inc,Technology,Software - Infrastructure,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,"-2,063770003","-1,753795314","-0,2655580741","-0,2094530369","-0,2432073522",#ERROR!,0,0,0,0,0,2,2,2,2,2,2,"-2,131266627","-2,131266627","-2,131266627","-2,131266627","-2,131266627","-2,131266627",#ERROR!,"-0,2364834836","-0,473816308","-2,740658171","-3,66663763","-4,156592559",#ERROR!,"-0,6644360059","-1,23609921","-1,350403825","14,04940846","-2,150669121",#ERROR!,0,"0,3128913438",-1,0,0,#ERROR!,"2,091046828","0,7104944336","0,1017813144","-0,08195113942","0,2239945201",#ERROR!,"-0,6687017395","0,2336937152",0,0,0,#ERROR!,0,"0,5676028184","0,2032786885","0,4557613169","0,8672967864",USA
7,ALM,Almonty Industries Inc,Basic Materials,Other Industrial Metals & Mining,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,Canada
8,ALT,Altimmune Inc,Healthcare,Biotechnology,28559005,438961087,402760445,822938984,655341615,28559005,"-1,208869348","-5,896395214","-3,894910307","-9,112396457","-6,77273442","-5,385439641",0,0,0,0,0,0,2,2,2,2,2,2,"2,702926717","2,702926717","2,702926717","2,702926717","2,702926717","2,702926717","-0,3871304954","-0,1198131362","-0,2394509104","-0,08123963864","-0,1266334709","-0,1559730765","-0,4247274642","-0,2347328898","-0,482159204","-0,459928933","-0,4820722337","-0,7990582185","-0,4384564262","0,4108707535","-0,4612113069","-1,015419501","7,264705882","-0,9530516432","0,3575478925","2,994184678","1,955435391","1,3028587","1,528924774","0,3717356453",1,"-3,093977699",1,1,1,1,"0,8884120172","-0,2243589744","-0,2303664921","0,229787234","0,08287292818","0,1927710843",USA
9,ASRT,Assertio Holdings Inc,Healthcare,Drug Manufacturers - Specialty & Generic,1363821975,816998400,1478170800,3115350000,1519437450,1363821975,"-0,4069732644","-1,340982092","-73,46480023","1,843714481","-0,2289652108","-3,846568648",0,0,0,0,0,0,3,3,3,3,3,3,"-2,285667228","-2,285667228","-2,285667228","-2,285667228","-2,285667228","-2,285667228","1,006776401","-1,737704223","0,05812445511","0,3875177372","0,6443941746","0,318119623","-0,4577889435","-0,4435703757","0,04581874757","0,1235007067","-1,262001492","-0,1436595745","-0,2637970299","-0,5291383111","0,02719407819","0,4073360117","-0,02665872985","-0,1782611841","3,230625345","-4,227683234","1,007142673","0,02142619497","-0,6350385556","-2,005829771","0,9585885695","0,8540643072","0,8573873565","0,8800005121","0,8223175006","0,6860860589","-6,343478261","0,9129373474","0,9722429907","69,35016835","-3,300492611","0,9507494647",USA
