Ticker,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
ABVC,35,ABVC BioPharma Inc,Healthcare,Biotechnology,USA,50790000.0,,2.09,2.96,52462
AEHL,90,Antelope Enterprise Holdings Ltd,Industrials,Building Products & Equipment,China,8460000.0,,2.47,-10.7,134180
AIFU,130,AIFU Inc,Financial,Insurance Brokers,China,38910000.0,,2.91,-2.25,1074
AMTX,218,Aemetis Inc,Basic Materials,Specialty Chemicals,USA,94400000.0,,1.44,0.69,202591
ANIX,237,Anixa Biosciences Inc,Healthcare,Biotechnology,USA,113240000.0,,3.44,5.52,226944
ARKR,291,Ark Restaurants Corp,Consumer Cyclical,Restaurants,USA,22680000.0,,6.29,-8.31,44718
ASRT,319,Assertio Holdings Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,70390000.0,,0.73,-0.88,58595
ASRV,320,Ameriserv Financial Inc,Financial,Banks - Regional,USA,52040000.0,10.29,3.15,-0.32,1376
BCBP,437,BCB Bancorp Inc (NJ),Financial,Banks - Regional,USA,144380000.0,174.58,8.38,-0.24,30482
CODA,902,Coda Octopus Group Inc,Industrials,Aerospace & Defense,USA,102600000.0,30.03,9.12,0.34,24505
CPSH,944,CPS Technologies Corporation,Technology,Electronic Components,USA,59600000.0,,3.32,0.45,29292
CRNT,971,Ceragon Networks Ltd,Technology,Communication Equipment,Israel,176430000.0,130.66,1.99,0.81,272251
CYRX,1046,CryoPort Inc,Industrials,Integrated Freight & Logistics,USA,459390000.0,,9.18,-0.7,201174
DLTR,1116,Dollar Tree Inc,Consumer Defensive,Discount Stores,USA,26220000000.0,,131.88,0.54,732297
DXR,1201,Daxor Corp,Healthcare,Medical Instruments & Supplies,USA,63430000.0,35.07,12.79,-1.32,166
EBMT,1215,Eagle Bancorp Montana Inc,Financial,Banks - Regional,USA,156340000.0,11.38,19.66,2.08,7855
EDAP,1223,EDAP TMS S.A. ADR,Healthcare,Medical Distribution,France,118710000.0,,3.17,-4.08,92728
FLNT,1496,Fluent Inc,Communication Services,Advertising Agencies,USA,63300000.0,,2.09,-1.88,21303
FORTY,1530,Formula Systems (1985) Ltd. ADR,Technology,Information Technology Services,Israel,2700000000.0,38.58,176.12,0.88,21
GCBC,1633,Greene County Bancorp Inc,Financial,Banks - Regional,USA,415710000.0,12.32,24.42,1.01,3400
GMAB,1710,Genmab ADR,Healthcare,Biotechnology,Denmark,19260000000.0,13.28,31.26,-0.97,671135
GREE,1749,Greenidge Generation Holdings Inc,Financial,Capital Markets,USA,24650000.0,,1.56,0.0,65902
HGBL,1838,Heritage Global Inc,Financial,Capital Markets,USA,47360000.0,15.8,1.36,-1.92,29941
HNNA,1861,Hennessy Advisors Inc,Financial,Asset Management,USA,75880000.0,7.63,9.62,2.73,2946
IBIO,1956,iBio Inc,Healthcare,Biotechnology,USA,42720000.0,,1.9,3.83,974534
IDN,1988,Intellicheck Inc,Technology,Software - Application,USA,141430000.0,707.07,7.0,10.94,120168
INOD,2067,Innodata Inc,Technology,Information Technology Services,USA,1600000000.0,51.93,50.37,2.32,408029
LFVN,2344,Lifevantage Corporation,Consumer Defensive,Packaged Foods,USA,80920000.0,8.27,6.37,-1.22,51424
LOAN,2402,Manhattan Bridge Capital Inc,Real Estate,REIT - Mortgage,USA,55820000.0,10.54,4.88,0.41,13714
LWLG,2451,Lightwave Logic Inc,Basic Materials,Specialty Chemicals,USA,401570000.0,,3.01,-20.29,6313952
MCHX,2508,Marchex Inc,Communication Services,Advertising Agencies,USA,71570000.0,,1.63,-0.01,1983
NAII,2708,"Natural Alternatives International, Inc",Consumer Defensive,Packaged Foods,USA,19890000.0,,3.22,0.62,5944
NECB,2748,NorthEast Community Bancorp Inc,Financial,Banks - Regional,USA,331600000.0,7.21,23.64,0.51,11259
OCC,2896,Optical Cable Corp,Technology,Communication Equipment,USA,80720000.0,,9.1,8.33,41955
OVBC,2993,Ohio Valley Banc Corp,Financial,Banks - Regional,USA,195170000.0,13.78,41.43,-0.26,7008
PAA,3003,Plains All American Pipeline LP,Energy,Oil & Gas Midstream,USA,12430000000.0,14.29,17.62,-1.4,1337316
PCYO,3051,Pure Cycle Corp,Utilities,Utilities - Regulated Water,USA,283540000.0,21.68,11.77,-0.76,18720
PRTS,3199,CarParts.com Inc,Consumer Cyclical,Auto Parts,USA,27070000.0,,0.39,0.19,1188260
SFBC,3582,Sound Financial Bancorp Inc,Financial,Banks - Regional,USA,114630000.0,16.93,44.67,0.27,767
TACT,3862,Transact Technologies Inc,Technology,Computer Hardware,USA,41810000.0,,4.14,-1.55,5531
TBRG,3888,TruBridge Inc,Healthcare,Health Information Services,USA,334550000.0,119.65,22.29,-1.02,17434
TREE,3994,LendingTree Inc,Financial,Financial Conglomerates,USA,706360000.0,51.29,51.67,2.33,44607
VIRC,4216,Virco Manufacturing Corp,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,104870000.0,26.28,6.65,1.58,26332
WVVI,4379,Willamette Valley Vineyard Inc,Consumer Defensive,Beverages - Wineries & Distilleries,USA,14150000.0,,2.85,1.06,8384
