,Ticker,Company,Sector,Industry,mcap_2019,mcap_2020,mcap_2021,mcap_2022,mcap_2023,mcap_2024,pe_2019,pe_2020,pe_2021,pe_2022,pe_2023,pe_2024,dy_2019,dy_2020,dy_2021,dy_2022,dy_2023,dy_2024,pscore_2019,pscore_2020,pscore_2021,pscore_2022,pscore_2023,pscore_2024,azscore_2019,azscore_2020,azscore_2021,azscore_2022,azscore_2023,azscore_2024,fcfyield_2019,fcfyield_2020,fcfyield_2021,fcfyield_2022,fcfyield_2023,fcfyield_2024,roic_2019,roic_2020,roic_2021,roic_2022,roic_2023,roic_2024,rg_2019,rg_2020,rg_2021,rg_2022,rg_2023,rg_2024,ndebitda_2019,ndebitda_2020,ndebitda_2021,ndebitda_2022,ndebitda_2023,ndebitda_2024,gpm_2019,gpm_2020,gpm_2021,gpm_2022,gpm_2023,gpm_2024,epsdg_2019,epsdg_2020,epsdg_2021,epsdg_2022,epsdg_2023,epsdg_2024,Country
0,ABTC,American Bitcoin Corp,Financial,Capital Markets,72051612,71255790,1406613022,382311622,654149561,72051612,#ERROR!,"-170387,0306","-99626,44106","-590,4690362","866,7065807","4,257666456",#ERROR!,0,0,0,0,0,3,3,3,3,3,3,"1,123157841","1,123157841","1,123157841","1,123157841","1,123157841","1,123157841",#ERROR!,"-0,000001508654427","-0,000002629518838","-0,001942156635","-0,001658207917","-0,04912328684",#ERROR!,"-0,2393103994","-0,1885910255","-8,277624348","0,01203714783","0,4029378968",#ERROR!,0,"0,1263631686","2,727272846","-0,01095873731","0,1008910297",#ERROR!,"0,0928283077","-0,1583610744","-0,09956729403","0,986644559","0,01077193408",#ERROR!,"0,3420549372","0,2847129054","0,3547891204","0,3288961389","0,4477123726",#ERROR!,0,"-10,56233882","0,9999977492","1,396363636","9,779816514",USA
1,ACET,Adicet Bio Inc,Healthcare,Biotechnology,3097146112,5844532937,12923140206,5957806243,1301389679,3097146112,"-6,87936675","-2,804018082","-8,731645323","-5,262326619","-0,5702460867","-0,7216110063",0,0,0,0,0,0,1,1,1,1,1,1,"-6,282921541","-6,282921541","-6,282921541","-6,282921541","-6,282921541","-6,282921541","-0,1495673785","-0,4136484937","-0,118403273","-0,1675852881","-1,206893662","-1,106245208","-0,4704295435","-0,2745511921","-0,189116779","-0,2314411038","-0,795057235","-0,6256894768","-0,8783767266","16,99296482","-0,4565156678","1,568345324",-1,0,"0,394590975","1,675871471","4,247641119","3,657331417","1,016493939","0,3548215093",1,1,1,1,0,0,"-3,903225806","-2,296052632","0,6007984032","0,15","-0,9470588235","0,5981873112",USA
2,AGAE,Allied Gaming & Entertainment Inc,Communication Services,Entertainment,60481428,60864929,66753110,40428910,39451830,60481428,"-2,510020588","-1,005930034","1,060949758","-3,790235766","-11,48370786","-1,731799546",0,0,0,0,0,0,1,1,1,1,1,1,"-211,1510319","-211,1510319","-211,1510319","-211,1510319","-211,1510319","-211,1510319","-0,2934172497","-0,122017524","-0,1539897471","-0,2688309459","-0,232834469","-0,4179565203","-0,2154311873","-0,5153048139","-0,1568551806","-0,1205779755","-0,05957536703","-0,2087975525","0,2654308749","-0,8768485112","0,5435506049","0,2817632626","0,2050492171","0,1860161653","-0,498197432","-0,122375934","7,450877104","0,3897001736","0,009253013352","2,364222128","0,573294909","0,1083532011","0,1777205188","0,1965057686","0,3734992075","0,2981605904","0,6060606061","-0,5096153846","0,7579617834","0,2631578947","0,655","-3,658385093",USA
3,AGIO,Agios Pharmaceuticals Inc,Healthcare,Biotechnology,3276045322,3013320288,1790357111,1538487334,1244845342,3276045322,"-6,962172972","-9,132413163","1,238166443","-6,637103959","-3,520025151","2,77068243",0,0,0,0,0,0,1,1,1,1,1,1,"8,723381949","8,723381949","8,723381949","8,723381949","8,723381949","8,723381949","-0,133622284","-0,1019725168","-0,2078917478","-0,2043299239","-0,2396893008","-0,2097447957","-0,5297575705","-0,4385509583","-0,2724256318","-0,3269983997","-0,4427729478","-0,2498720655","0,2492398318",-1,0,0,"0,8836376404","0,3606979085","-0,08289414035","0,07160913655","0,3139521456","0,1408735739","0,0421161761","0,04584559279","0,9888306534",0,0,"0,8803370787","0,6456772173","0,885884158","-0,09618573798","0,2829046899","-0,3417721519","0,3349056604","-0,4964539007","2,838862559",USA
4,AIA,iShares Asia 50 ETF,Financial,Exchange Traded Fund,413795580,623487347,613919328,504138077,565283498,413795580,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,USA
5,AIFU,AIFU Inc,Financial,Insurance Brokers,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,"2,234824644","1,44987838","1,508550672","4,101588861","1,508880661","0,9412910832","1,030414972","0,9988772565","0,6405151213","0,1266040022",0,0,6,6,6,6,6,6,"2,321466725","2,321466725","2,321466725","2,321466725","2,321466725","2,321466725","0,3757147561","0,9951517047","0,2519956014","0,1459025477","0,2098054674","0,3138401997","0,1039665946","0,1031013219","0,09198110854","0,05103388865","0,05000557975","-0,0942727315","0,06762380148","-0,1181483123","0,0009084664236","-0,1496432102","0,1498320759","-0,4344552836","0,05153056506","-0,1326138227","-1,048031172","-2,10128197","-0,9951625884","-5,94989648","0,3298850541","0,3225927858","0,3533802246","0,3544744167","0,3292198041","0,3847598893","-0,6530612245","0,4705882353","17,4","-0,6086956522","1,888888889","-0,9888076923",China
6,AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,55912640000,78964500000,139893040000,82286100000,134680170000,55912640000,"19,71993718","15,0624924","21,56149796","11,78553103","16,05385064","21,35658074","0,01444844333","0,01443741061","0,006600810844","0,01135231862","0,008858385757","0,007776811766",7,7,7,7,7,7,"14,04516487","14,04516487","14,04516487","14,04516487","14,04516487","14,04516487","0,05258408816","0,06204234142","0,03760414197","0,05997353206","0,06899546814","0,04884646786","0,1825816343","0,211152194","0,3063624694","0,3441379066","0,2876500578","0,2581663459","-0,1255312781","0,1775739321","0,3407161958","0,1180245415","0,02838859802","0,02485198175","0,5649249871","0,07455497382","0,1025988089","0,4642770647","-0,01572847682","-0,1611875782","0,4371577218","0,4471573073","0,4732255127","0,4651153772","0,4670211562","0,4745731528","-0,03378378378","0,3706293706","0,6326530612","0,1625","0,09005376344","0,06165228113",USA
7,AMGN,AMGEN Inc,Healthcare,Drug Manufacturers - General,142231300000,132663840000,123283560000,140512400000,154090700000,142231300000,"18,59823387","18,54806167","21,76020703","21,56598291","22,94040494","34,4758533","0,02405940183","0,02786991053","0,03129462096","0,02969561569","0,02956700177","0,03426798701",7,7,7,7,7,7,"1,842767223","1,842767223","1,842767223","1,842767223","1,842767223","1,842767223","0,05849952022","0,07339694947","0,06535764223","0,06217254144","0,04775758693","0,07371304986","0,1666228121","0,1588469674","0,1369099389","0,1672131113","0,08419568871","0,0890954117","-0,01621257422","0,08826299118","0,02182976715","0,01324146426","0,07092656612","0,1856686768","1,889179134","2,056017236","2,241501416","2,573424275","3,626038781","3,603324349","0,813543361","0,757748584","0,7515685746","0,756638681","0,70148989","0,6153063667","0,0206022187","-0,04425465839","-0,16490658","0,1780155642","0,0313790256","-0,3947157726",USA
8,AMRX,Amneal Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,709407600,676419410,717982680,301437240,1479325770,709407600,"-1,759124083","7,49180327","67,14386107","-2,310853187","-12,64583329","-20,93583286",0,0,0,0,0,0,6,6,6,6,6,6,"1,889775297","1,889775297","1,889775297","1,889775297","1,889775297","1,889775297","-0,1503572778","0,4649176278","0,2720904267","-0,08487623085","0,2602127892","0,08994666418","-0,07888561171","-0,05158939433","0,02968285528","-0,03012458825","0,07161975863","0,09193677268","-0,0220193615","0,225132857","0,05076277664","0,05666368466","0,0819521187","0,1672580336","16,87353574","7,689255074","6,552694236","6,404152128","5,309657695","5,645155569","0,2170455363","0,3153755314","0,3672848956","0,3577541784","0,3609067821","0,3652303883","-2,436090226","1,133479212","-0,8852459016","-13,28571429","0,4418604651","0,2083333333",USA
9,AMSC,American Superconductor Corp,Industrials,Specialty Industrial Machinery,169382433,620231860,297861760,102870720,324084880,169382433,"-6,726591015","-19,96409913","-10,78595478","-3,902105534","-36,21089461","111,2213824",0,0,0,0,0,0,6,6,6,6,6,6,"6,52670762","6,52670762","6,52670762","6,52670762","6,52670762","6,52670762","-0,1750207395","-0,02307033898","-0,0962008374","-0,1734832267","0,002992499489","0,03855447686","-0,2767023975","-0,1735685045","-0,1593230631","-0,3574878704","-0,0734822629","-0,005093619497","0,1357660078","0,3647827313","0,2445911047","-0,02260340296","0,3741602506","0,5299336029","1,129589289","4,335118281","1,703028058","0,7643422541","44,66581892","-6,2700766","0,1479526301","0,2003328551","0,1244247706","0,08039892814","0,2422634047","0,2775987577","-1,627906977","-0,1728395062","0,2526315789","-0,7746478873","0,7063492063","1,432432432",USA
