Ticker,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AAPL,13,Apple Inc,Technology,Consumer Electronics,USA,4047240000000.0,36.72,273.9,-0.08,11359586
ACGL,45,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,34590000000.0,8.93,95.38,-0.35,541422
ACIC,48,American Coastal Insurance Corp,Financial,Insurance - Property & Casualty,USA,619560000.0,7.33,12.7,-0.9,23414
ACNT,55,Ascent Industries Co,Basic Materials,Chemicals,USA,145440000.0,167.35,15.53,-0.06,6181
ACWI,63,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,,,139.95,-1.3,1107397
AEC,89,Anfield Energy Inc,Energy,Uranium,Canada,78760000.0,,4.96,-3.88,16422
AGNC,118,AGNC Investment Corp,Real Estate,REIT - Mortgage,USA,11110000000.0,15.66,10.36,0.0,3721953
AIFU,130,AIFU Inc,Financial,Insurance Brokers,China,38910000.0,,2.91,-2.25,1074
ALRS,184,Alerus Financial Corp,Financial,Banks - Regional,USA,592010000.0,11.23,23.31,-0.77,18644
AMGN,204,AMGEN Inc,Healthcare,Drug Manufacturers - General,USA,175010000000.0,25.13,325.0,-0.1,674725
AMKR,207,AMKOR Technology Inc,Technology,Semiconductor Equipment & Materials,USA,10050000000.0,32.78,40.67,-7.37,2100259
AMTX,218,Aemetis Inc,Basic Materials,Specialty Chemicals,USA,94400000.0,,1.44,0.69,202591
APRE,268,Aprea Therapeutics Inc,Healthcare,Biotechnology,USA,5810000.0,,0.92,-0.48,12678
ARKR,291,Ark Restaurants Corp,Consumer Cyclical,Restaurants,USA,22680000.0,,6.29,-8.31,44718
ARTL,300,Artelo Biosciences Inc,Healthcare,Biotechnology,USA,3700000.0,,1.84,0.27,30231
ASRV,320,Ameriserv Financial Inc,Financial,Banks - Regional,USA,52040000.0,10.29,3.15,-0.32,1376
ATOS,348,Atossa Therapeutics Inc,Healthcare,Biotechnology,USA,94150000.0,,0.73,1.99,331474
AVAV,368,AeroVironment Inc,Industrials,Aerospace & Defense,USA,11720000000.0,,234.66,-0.28,383619
AVBH,369,Avidbank Holdings Inc,Financial,Banks - Regional,USA,300270000.0,,27.42,1.33,8453
AWRE,391,Aware Inc,Technology,Software - Application,USA,45310000.0,,2.12,0.95,612
BANF,413,Bancfirst Corp,Financial,Banks - Regional,USA,3750000000.0,16.01,112.58,-1.03,17065
BANR,415,Banner Corp,Financial,Banks - Regional,USA,2270000000.0,12.16,66.69,-0.35,35039
BGRN,482,iShares USD Green Bond ETF,Financial,Exchange Traded Fund,USA,,,47.99,0.03,3079
