,Ticker,Company,Sector,Industry,mcap_2019,mcap_2020,mcap_2021,mcap_2022,mcap_2023,mcap_2024,pe_2019,pe_2020,pe_2021,pe_2022,pe_2023,pe_2024,dy_2019,dy_2020,dy_2021,dy_2022,dy_2023,dy_2024,pscore_2019,pscore_2020,pscore_2021,pscore_2022,pscore_2023,pscore_2024,azscore_2019,azscore_2020,azscore_2021,azscore_2022,azscore_2023,azscore_2024,fcfyield_2019,fcfyield_2020,fcfyield_2021,fcfyield_2022,fcfyield_2023,fcfyield_2024,roic_2019,roic_2020,roic_2021,roic_2022,roic_2023,roic_2024,rg_2019,rg_2020,rg_2021,rg_2022,rg_2023,rg_2024,ndebitda_2019,ndebitda_2020,ndebitda_2021,ndebitda_2022,ndebitda_2023,ndebitda_2024,gpm_2019,gpm_2020,gpm_2021,gpm_2022,gpm_2023,gpm_2024,epsdg_2019,epsdg_2020,epsdg_2021,epsdg_2022,epsdg_2023,epsdg_2024,Country
0,AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,18882362,17164608,16799000,21348287,17865981,18882362,"-0,9839950543","-1,31927847","-3,168559272","-2,869363956","-3,811513022","-2,694134318",0,0,0,0,0,0,4,4,4,4,4,4,"-1,616828031","-1,616828031","-1,616828031","-1,616828031","-1,616828031","-1,616828031","-0,4917929571","-0,2695260387","-0,3403210054","-0,1181193909","0,05075254525","-0,2403014148","-1,782996247","-0,3005207877","-0,2482814318","-0,253669062","-0,2338043065","-0,3033551092","72,03955724","0,6586608367","0,2469169618","0,02280510954","0,07155029236","0,2095535072","0,1826459684","0,8723921888","0,706163912","0,5450953818","1,92503491","0,07003932405","0,1884505322","0,3560651688","0,5182524468","0,4956222069","0,5173618939","0,5269902261","-1,144109589","0,4030418251","0,6337579618","-0,3217391304","0,2894736842","-0,06481481481",China
1,AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,240071040,224987984,141161469,53789400,706126680,240071040,"-3,594156951","-3,183552681",#ERROR!,"-0,7926513461","-11,01133107","-8,199466564",0,0,0,0,0,0,3,3,3,3,3,3,"3,238066983","3,238066983","3,238066983","3,238066983","3,238066983","3,238066983","-0,1426805366","-0,3416287864","-0,1612394796","-0,3469335739","-0,02851110259","-0,07375820613","-0,1171428365","-0,1128480726","-0,1403466264","-0,1734235558","-0,1230837466","-0,1688398274","-0,2863664405","0,2292164382","-0,09827681003","0,05318932716","-0,02321176925","0,1457366549","-3,749180626","-5,345991561","-4,974060167","-3,548230508","-2,89134586","-0,7750540011","0,2420522654","0,2154136636","0,1782667265","0,1509168918","0,2707194251","0,2478294869","-29,09090909","0,1933534743","0,2471910112","-0,184079602","0,2647058824","-1,571428571",USA
2,AIFU,AIFU Inc,Financial,Insurance Brokers,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,"2,234824644","1,44987838","1,508550672","4,101588861","1,508880661","0,9412910832","1,030414972","0,9988772565","0,6405151213","0,1266040022",0,0,6,6,6,6,6,6,"2,321466725","2,321466725","2,321466725","2,321466725","2,321466725","2,321466725","0,3757147561","0,9951517047","0,2519956014","0,1459025477","0,2098054674","0,3138401997","0,1039665946","0,1031013219","0,09198110854","0,05103388865","0,05000557975","-0,0942727315","0,06762380148","-0,1181483123","0,0009084664236","-0,1496432102","0,1498320759","-0,4344552836","0,05153056506","-0,1326138227","-1,048031172","-2,10128197","-0,9951625884","-5,94989648","0,3298850541","0,3225927858","0,3533802246","0,3544744167","0,3292198041","0,3847598893","-0,6530612245","0,4705882353","17,4","-0,6086956522","1,888888889","-0,9888076923",China
3,AMGN,AMGEN Inc,Healthcare,Drug Manufacturers - General,142231300000,132663840000,123283560000,140512400000,154090700000,142231300000,"18,59823387","18,54806167","21,76020703","21,56598291","22,94040494","34,4758533","0,02405940183","0,02786991053","0,03129462096","0,02969561569","0,02956700177","0,03426798701",7,7,7,7,7,7,"1,842767223","1,842767223","1,842767223","1,842767223","1,842767223","1,842767223","0,05849952022","0,07339694947","0,06535764223","0,06217254144","0,04775758693","0,07371304986","0,1666228121","0,1588469674","0,1369099389","0,1672131113","0,08419568871","0,0890954117","-0,01621257422","0,08826299118","0,02182976715","0,01324146426","0,07092656612","0,1856686768","1,889179134","2,056017236","2,241501416","2,573424275","3,626038781","3,603324349","0,813543361","0,757748584","0,7515685746","0,756638681","0,70148989","0,6153063667","0,0206022187","-0,04425465839","-0,16490658","0,1780155642","0,0313790256","-0,3947157726",USA
4,AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail,920204400000,1641528000000,1697209600000,858480000000,1573490640000,920204400000,"78,77228167","76,34428766","50,56966791","-314,4290963","51,45734626","38,78057437",0,0,0,0,0,0,6,6,6,6,6,6,"6,124614018","6,124614018","6,124614018","6,124614018","6,124614018","6,124614018","0,02372117318","0,01591894381","-0,008728037068","-0,01973767228","0,02057818774","0,01430926938","0,08781215201","0,1036355628","0,07817590151","0,01826849844","0,08228265483","0,1331584927","0,2045412582","0,376234306","0,2169536657","0,09399517264","0,1182957413","0,1099089225","0,7256255854","0,8286834624","1,077722366","2,248383396","0,6960023266","0,4209586884","0,4099001148","0,3956779187","0,4203251444","0,4380533987","0,4698208896","0,4885439346","0,1386138614","0,8173913043","0,5502392344","-1,083333333","11,74074074","0,9068965517",USA
5,AOSL,Alpha & Omega Semiconductor Ltd,Technology,Semiconductors,339056280,611850480,1721296880,785989270,728090340,339056280,"-15,14006217","-40,97319588","13,48400681","1,969074616","73,09168554","-97,44108293",0,0,0,0,0,0,5,5,5,5,5,5,"3,732066344","3,732066344","3,732066344","3,732066344","3,732066344","3,732066344","-0,3656480277","-0,0003071125793","0,07151784933","0,09060846626","-0,09954015998","-0,01053767676","-0,01171182895","-0,02142795643","0,07820735128","0,08849444795","0,01458088331","-0,003724391093","0,06966383824","0,03102324137","0,4129689896","0,1836651434","-0,1109006214","-0,04924919104","0,9719402031","1,599585617","-0,007138243707","-1,496600846","-1,717059353","-1,958672136","0,2558724386","0,2209701253","0,3113752127","0,3453865465","0,2886300286","0,2615621491","-2,035087719","-0,2372881356","3,917808219","6,544600939","-0,9738643435","-1,928571429",USA
6,AQMS,Aqua Metals Inc,Industrials,Waste Management,45014654,200633400,88470702,98287250,82396008,45014654,"-0,8814667016","-7,087345703","-4,732724674","-6,141128248","-2,982211045","-0,6588227245",0,0,0,0,0,0,3,3,3,3,3,3,"-39,41341829","-39,41341829","-39,41341829","-39,41341829","-39,41341829","-39,41341829","-0,9687402433","-0,0788458147","-0,1157342078","-0,1574336178","-0,1831676084","-1,594200103","-0,6682720661","-0,476077073","-0,590452686","-0,5681643976","-0,8350343039","-1,083560523","0,09552708474","-0,9778416085","0,6018518519","-0,9768786127","5,25",-1,"-0,081988962","0,2462184099","0,4402967359","0,04219616654","0,6027850857","-0,008456659619","-4,088018055","-49,7037037","-39,56069364","-988,75","-250,28",0,"0,2728044124","0,5060676779","0,3860146468","0,2168141593","-0,2520265291","0,2495585639",USA
7,ARCT,Arcturus Therapeutics Holdings Inc,Healthcare,Biotechnology,157843270,1138421340,976167358,449575680,839580840,157843270,"-5,047517602","-12,20866691","-4,782113426","47,97381538","-28,24493995","-5,660789958",0,0,0,0,0,0,2,2,2,2,2,2,"0,1534881923","0,1534881923","0,1534881923","0,1534881923","0,1534881923","0,1534881923","-0,05536243875","-0,0506374152","-0,1421459066","0,05410615482","-0,02501248123","-0,1318121303","-0,4138630244","-0,1664064772","-0,6393308288","0,02756981167","-0,2223489006","-0,3390762919","0,3196851393","-0,5411515705","0,2956284726","15,6481916","-0,233321183","-0,1227210488","2,07258823","6,258953597","1,494334495","-21,68184472","10,83339541","2,693479412",1,"-4,864975364",1,1,1,1,"0,01388888889","-0,6666666667","-1,18028169","1,045219638","-4,2","-1,678571429",USA
8,ASMB,Assembly Biosciences Inc,Healthcare,Biotechnology,8612781693,2880748688,1345545082,63428632,53950486,8612781693,"-8,821498344","-4,635005613","-0,7765836978","-0,6760198298","-0,7356327301","-2,358363163",0,0,0,0,0,0,2,2,2,2,2,2,"-1,836492233","-1,836492233","-1,836492233","-1,836492233","-1,836492233","-1,836492233","-0,09941155256","-0,2262502115","-0,9568511035","-1,343751175","0,4992748792","-0,5397777706","-0,3144609224","-0,247024498","-0,7306202285","-1,059102879","-0,654192556","-0,6323615404","0,07828965145","3,955522145","-0,9209405221",-1,0,"2,981571967","0,332263196","0,8444204723","0,4322065707","0,5291300964","0,2725870771","0,7784107218","-4,345110568","-0,2810441818",1,0,"-5,826748569",1,"0,3015075377","0,4604316547","-1,4","0,3661111111","0,4136722174","0,5",USA
9,ASRV,Ameriserv Financial Inc,Financial,Banks - Regional,71580600,53410320,65982840,67433100,55556280,71580600,"12,09485733","11,60850152","9,318690611","9,049621375","-16,59991632","12,50468203","0,02252159577","0,03214934683","0,02591735762","0,02918329214","0,03705216037","0,04485962048",6,6,6,6,6,6,"-0,8874380845","-0,8874380845","-0,8874380845","-0,8874380845","-0,8874380845","-0,8874380845","0,02837830795","-0,05054716652","0,1319842954","0,04642324408","0,0883454572","0,02167474732","0,02861333549","0,02018322045","0,03604815936","0,02916929391","-0,01446743746","0,01626710395","0,05254574513","-0,02142857143","0,02015611888","0,02048735061","0,1748897338","0,09360638973","8,276786657","10,57581967","2,936071792","10,21607506","-43,87597234","12,94986115","0,7656492098","0,795905442","0,8651870247","0,8700380228","0,5822729097","0,6290127841","-0,1860465116","-0,2285714286","0,5185185185","0,0487804878","-1,465116279","2,05",USA
