Ticker,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
ACNT,55,Ascent Industries Co,Basic Materials,Chemicals,USA,145440000.0,167.35,15.53,-0.06,6181
AIRT,145,Air T Inc,Industrials,Conglomerates,USA,51790000.0,,19.79,-5.13,2366
ALRS,184,Alerus Financial Corp,Financial,Banks - Regional,USA,592010000.0,11.23,23.31,-0.77,18644
AMSC,215,American Superconductor Corp,Industrials,Specialty Industrial Machinery,USA,1440000000.0,85.6,31.84,1.06,163486
ARTW,303,Art's-way Manufacturing Co. Inc,Industrials,Farm & Heavy Construction Machinery,USA,11590000.0,6.32,2.27,1.79,3827
ASPS,318,Altisource Portfolio Solutions S.A,Real Estate,Real Estate Services,Luxembourg,70410000.0,,6.41,2.15,3606
ATLC,340,Atlanticus Holdings Corp,Financial,Credit Services,USA,1010000000.0,11.86,66.78,3.02,29053
AVBH,369,Avidbank Holdings Inc,Financial,Banks - Regional,USA,300270000.0,,27.42,1.33,8453
AWRE,391,Aware Inc,Technology,Software - Application,USA,45310000.0,,2.12,0.95,612
BHRB,486,Burke & Herbert Financial Services Corp,Financial,Banks - Regional,USA,1040000000.0,9.87,69.47,-0.67,13865
BVFL,662,BV Financial Inc,Financial,Banks - Regional,USA,172870000.0,17.85,19.42,-0.03,5135
CCEC,733,Capital Clean Energy Carriers Corp,Industrials,Marine Shipping,Greece,1240000000.0,5.24,20.97,1.21,370
CCOI,743,Cogent Communications Holdings Inc,Communication Services,Telecom Services,USA,1150000000.0,,23.34,2.21,401183
CELH,769,Celsius Holdings Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA,11060000000.0,472.0,42.9,-2.05,1971782
CREX,962,Creative Realities Inc,Technology,Software - Application,USA,29130000.0,,2.77,-1.07,5619
CRVO,980,CervoMed Inc,Healthcare,Biotechnology,USA,75870000.0,,8.2,-1.8,7498
CRWS,985,"Crown Crafts, Inc",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,28150000.0,,2.63,1.15,45048
CWST,1037,"Casella Waste Systems, Inc",Industrials,Waste Management,USA,6380000000.0,418.77,100.46,-0.01,265653
DRS,1146,Leonardo DRS Inc,Industrials,Aerospace & Defense,USA,8830000000.0,33.65,33.18,-1.48,267777
DYAI,1203,"Dyadic International Inc., DE",Healthcare,Biotechnology,USA,32570000.0,,0.9,8.91,48200
ELTK,1262,Eltek Ltd,Technology,Electronic Components,Israel,61110000.0,53.37,9.1,0.66,2944
ESCA,1313,"Escalade, Inc",Consumer Cyclical,Leisure,USA,181730000.0,14.46,13.16,0.96,4201
FKWL,1487,Franklin Wireless Corp,Technology,Communication Equipment,USA,51500000.0,,4.37,0.23,4474
GNSS,1719,Genasys Inc,Technology,Scientific & Technical Instruments,USA,95280000.0,,2.11,-0.94,49473
HFBL,1834,Home Federal Bancorp Inc (Louisiana),Financial,Banks - Regional,USA,52810000.0,11.52,17.1,6.81,379
HIMX,1843,Himax Technologies ADR,Technology,Semiconductors,Taiwan,1460000000.0,23.22,8.35,-1.18,178679
HROW,1886,Harrow Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,1690000000.0,,45.76,0.13,220552
ICCC,1973,Immucell Corp,Healthcare,Biotechnology,USA,55180000.0,23.56,6.1,-0.65,167
ISBA,2124,Isabella Bank Corp,Financial,Banks - Regional,USA,383810000.0,21.28,52.33,2.46,6004
KINS,2241,Kingstone Cos. Inc,Financial,Insurance - Property & Casualty,USA,230880000.0,7.41,16.32,0.93,24806
KOSS,2261,Koss Corp,Technology,Consumer Electronics,USA,42840000.0,,4.53,-1.52,7704
LFMD,2339,LifeMD Inc,Healthcare,Health Information Services,USA,159570000.0,,3.32,1.38,458901
LINK,2370,Interlink Electronics,Technology,Electronic Components,USA,56080000.0,,3.56,3.21,9214
LTRX,2438,Lantronix Inc,Technology,Communication Equipment,USA,234580000.0,,5.96,0.34,111539
MGYR,2561,Magyar Bancorp Inc,Financial,Banks - Regional,USA,111150000.0,11.03,17.23,0.19,54
MNSB,2601,MainStreet Bancshares Inc,Financial,Banks - Regional,USA,167990000.0,,21.8,0.23,9811
MPB,2619,"Mid Penn Bancorp, Inc",Financial,Banks - Regional,USA,741470000.0,13.21,32.17,-0.53,23244
NBN,2725,Northeast Bank,Financial,Banks - Regional,USA,805030000.0,9.49,100.91,0.75,40432
ORMP,2973,"Oramed Pharmaceuticals, Inc",Healthcare,Biotechnology,USA,123390000.0,3.09,3.1,0.65,88662
PRPH,3191,ProPhase Labs Inc,Healthcare,Diagnostics & Research,USA,5000000.0,,0.11,-4.24,291926
PSEC,3212,Prospect Capital Corp,Financial,Asset Management,USA,1200000000.0,,2.56,-0.58,1645146
RCKY,3364,"Rocky Brands, Inc",Consumer Cyclical,Footwear & Accessories,USA,232870000.0,11.35,31.08,-0.43,4788
SAVA,3524,Cassava Sciences Inc,Healthcare,Biotechnology,USA,136950000.0,,2.84,1.25,303899
SBET,3528,SharpLink Gaming Inc,Consumer Cyclical,Gambling,USA,1890000000.0,,9.62,1.16,3558982
SGLY,3596,Singularity Future Technology Ltd,Industrials,Integrated Freight & Logistics,USA,4170000.0,,0.57,-2.43,13308
SHIP,3607,Seanergy Maritime Holdings Corp,Industrials,Marine Shipping,Greece,203750000.0,13.26,9.65,-0.1,43235
SMID,3681,Smith-Midland Corp,Basic Materials,Building Materials,USA,182560000.0,15.53,34.42,1.16,1984
STRR,3816,Star Equity Holdings Inc,Industrials,Conglomerates,USA,37550000.0,,10.93,-0.64,3166
TOMZ,3978,TOMI Environmental Solutions Inc,Industrials,Pollution & Treatment Controls,USA,15360000.0,,0.76,-0.05,2780
WKSP,4339,Worksport Ltd,Consumer Cyclical,Auto Parts,USA,21710000.0,,2.63,5.62,752127
XOMA,4410,XOMA Royalty Corp,Healthcare,Biotechnology,USA,325430000.0,35.25,26.28,3.1,48987
ZYXI,4502,Zynex Inc,Healthcare,Medical Distribution,USA,8780000.0,,0.29,-56.35,7221404
