year,Financial,Industrials,Healthcare,Technology,Consumer Cyclical,Real Estate,Energy,Consumer Defensive,Basic Materials,Communication Services,Utilities
2014,44.91,11.24,8.45,8.78,8.01,4.37,3.23,3.49,3.2,2.17,2.17
2015,46.33,10.83,8.28,8.69,7.83,4.35,3.1,3.35,3.1,2.1,2.04
2016,47.55,10.46,8.13,8.33,7.57,4.31,3.19,3.26,3.09,2.14,1.97
2017,48.25,10.18,8.26,8.29,7.36,4.13,3.42,3.17,2.92,2.17,1.86
2018,48.71,9.76,8.5,8.06,7.33,4.4,3.4,3.08,2.81,2.2,1.76
2019,48.97,9.51,9.15,8.05,7.2,4.29,3.24,2.91,2.75,2.23,1.7
2020,49.35,9.18,9.56,8.01,7.0,4.38,3.11,2.85,2.64,2.28,1.63
2021,50.09,8.88,9.7,7.97,6.81,4.22,3.06,2.81,2.59,2.27,1.6
2022,50.74,8.57,9.82,7.8,6.69,4.19,3.13,2.73,2.52,2.29,1.51
2023,51.32,8.29,10.31,7.69,6.47,4.1,3.08,2.63,2.39,2.3,1.41
2024,52.06,7.93,10.56,7.7,6.35,3.9,2.94,2.64,2.29,2.29,1.33
