year,Financial,Industrials,Technology,Consumer Cyclical,Basic Materials,Real Estate,Healthcare,Communication Services,Consumer Defensive,Energy,Utilities
2014,38.83,27.84,11.36,9.52,5.13,1.83,2.2,1.83,0.73,0.73,0.0
2015,47.24,21.03,12.41,8.62,1.38,1.03,4.83,2.41,0.69,0.34,0.0
2016,52.96,16.78,8.55,9.21,2.63,1.64,3.29,3.62,0.99,0.33,0.0
2017,68.73,9.29,7.12,5.88,2.48,1.55,1.55,0.93,0.93,1.24,0.31
2018,55.56,20.76,6.73,4.68,4.09,2.63,3.22,1.75,0.0,0.58,0.0
2019,60.44,18.96,6.04,4.95,3.02,0.27,3.02,1.92,0.82,0.55,0.0
2020,66.84,12.69,4.4,4.66,2.85,4.66,1.04,1.04,1.3,0.26,0.26
2021,67.24,13.3,4.68,5.42,2.96,2.46,1.72,0.99,0.74,0.25,0.25
2022,69.91,12.5,4.4,5.32,3.24,2.55,0.69,0.23,0.93,0.0,0.23
2023,65.51,12.36,3.25,9.76,3.25,4.77,0.22,0.43,0.43,0.0,0.0
2024,60.0,14.49,9.18,7.55,2.24,3.06,1.84,1.63,0.0,0.0,0.0
