year,Financial,Industrials,Energy,Healthcare,Consumer Cyclical,Technology,Basic Materials,Consumer Defensive,Communication Services,Real Estate,Utilities
2014,59.34,6.59,0.0,8.79,7.69,4.03,1.83,7.69,2.93,1.1,0.0
2015,80.69,6.55,0.0,0.34,2.07,1.72,0.34,6.55,1.72,0.0,0.0
2016,38.82,12.83,23.03,2.96,1.97,5.59,9.87,1.97,0.99,0.66,1.32
2017,46.75,12.38,14.86,2.48,1.24,4.02,12.69,2.17,1.24,0.93,1.24
2018,34.21,15.2,14.62,4.39,7.89,4.39,6.43,3.22,3.51,5.26,0.88
2019,69.78,10.71,0.82,3.02,4.12,1.1,4.67,1.92,0.82,3.02,0.0
2020,62.44,8.29,9.84,3.63,4.4,3.37,1.55,1.55,1.81,3.11,0.0
2021,65.52,9.36,8.13,2.71,2.96,3.45,2.71,2.71,1.72,0.49,0.25
2022,75.69,3.7,0.23,9.72,1.16,3.94,0.23,3.7,0.93,0.69,0.0
2023,51.19,21.48,0.43,3.04,8.68,6.94,2.39,3.9,1.95,0.0,0.0
2024,61.02,3.88,0.2,10.82,7.76,7.35,1.22,2.65,2.45,2.04,0.61
