year,Financial,Healthcare,Technology,Industrials,Utilities,Consumer Cyclical,Real Estate,Energy,Basic Materials,Consumer Defensive,Communication Services
2014,69.6,6.59,6.96,4.4,0.73,1.47,1.1,3.66,2.93,1.1,1.47
2015,50.69,12.41,8.28,6.9,6.21,2.76,2.76,3.45,3.79,2.07,0.69
2016,59.54,7.89,4.28,5.59,7.57,3.62,2.3,2.96,3.29,1.64,1.32
2017,66.15,5.9,4.97,5.28,7.14,4.35,1.55,0.62,1.55,0.93,1.55
2018,62.57,7.02,4.68,5.26,9.36,2.92,1.17,1.75,2.92,1.75,0.58
2019,60.71,8.52,5.22,6.04,10.44,3.02,0.55,1.92,1.37,1.65,0.55
2020,63.99,5.44,6.22,5.18,0.26,3.89,6.99,1.55,1.81,2.85,1.81
2021,63.55,3.94,4.43,5.42,0.49,8.62,5.67,2.46,0.99,1.97,2.46
2022,62.04,18.98,3.01,3.94,0.23,2.78,3.47,0.69,1.62,2.55,0.69
2023,52.49,34.06,2.6,3.04,0.22,0.65,0.87,3.47,1.52,0.65,0.43
2024,66.94,6.94,5.71,4.49,0.41,1.22,1.22,4.08,3.47,4.49,1.02
