year,Financial,Healthcare,Technology,Consumer Cyclical,Industrials,Real Estate,Basic Materials,Energy,Consumer Defensive,Utilities,Communication Services
2014,71.06,4.03,7.69,0.73,3.66,1.1,4.76,5.13,0.37,0.73,0.73
2015,39.66,28.62,7.24,5.17,8.28,2.07,4.14,1.72,1.38,0.34,1.38
2016,41.78,9.54,9.21,13.82,16.78,2.63,1.32,0.0,1.32,1.97,1.64
2017,59.63,9.32,5.28,6.21,6.21,1.24,0.93,0.93,0.93,8.39,0.93
2018,26.9,33.04,24.56,2.63,5.26,2.05,2.34,0.29,1.75,0.29,0.88
2019,37.09,12.91,6.32,23.08,6.04,1.65,3.3,1.92,5.77,0.27,1.65
2020,55.7,4.66,4.66,7.51,6.99,12.18,1.81,1.81,2.85,0.26,1.55
2021,47.04,2.71,5.91,14.29,7.88,10.34,1.23,2.46,3.2,0.74,4.19
2022,34.26,43.52,3.47,5.79,2.55,5.09,1.62,0.0,2.78,0.23,0.69
2023,23.43,55.75,11.06,2.6,2.39,0.22,0.43,1.08,0.87,0.22,1.95
2024,66.33,1.63,2.04,0.41,2.86,1.22,3.88,10.2,1.84,9.39,0.2
