,Ticker,Company,Sector,Industry,mcap_2019,mcap_2020,mcap_2021,mcap_2022,mcap_2023,mcap_2024,pe_2019,pe_2020,pe_2021,pe_2022,pe_2023,pe_2024,dy_2019,dy_2020,dy_2021,dy_2022,dy_2023,dy_2024,pscore_2019,pscore_2020,pscore_2021,pscore_2022,pscore_2023,pscore_2024,azscore_2019,azscore_2020,azscore_2021,azscore_2022,azscore_2023,azscore_2024,fcfyield_2019,fcfyield_2020,fcfyield_2021,fcfyield_2022,fcfyield_2023,fcfyield_2024,roic_2019,roic_2020,roic_2021,roic_2022,roic_2023,roic_2024,rg_2019,rg_2020,rg_2021,rg_2022,rg_2023,rg_2024,ndebitda_2019,ndebitda_2020,ndebitda_2021,ndebitda_2022,ndebitda_2023,ndebitda_2024,gpm_2019,gpm_2020,gpm_2021,gpm_2022,gpm_2023,gpm_2024,epsdg_2019,epsdg_2020,epsdg_2021,epsdg_2022,epsdg_2023,epsdg_2024,Country
0,AAPL,Apple Inc,Technology,Consumer Electronics,1280300057640,2223018730440,2890626871140,2064941499390,2986094670390,1280300057640,"18,28881556","33,93593425","25,91625351","24,44182353","27,79081179","37,28727842","0,01397136746","0,007227341517","0,005895871543","0,006083954603","0,005573960674","0,004358598337",8,8,8,8,8,8,"10,20399198","10,20399198","10,20399198","10,20399198","10,20399198","10,20399198","0,05828016558","0,03765598398","0,0378820037","0,04568520672","0,03694358068","0,03113076075","0,2157787371","0,2426948686","0,3892505618","0,4517476149","0,4338918292","0,4430708117","-0,02041077581","0,05512080377","0,3325938473","0,07793787604","-0,0280046053","0,02021994078","0,7232225751","1,040014811","0,8249577703","0,817452568","0,7468208552","0,6617803224","0,3781776811","0,3823324773","0,4177935963","0,4330963056","0,4413112958","0,4620634982","-0,003355704698","0,1043771044","0,7103658537","0,08912655971","0,003273322422","-0,008156606852",USA
1,ACWI,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,12842419625,14701126920,17141591773,13754758079,16491773442,12842419625,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,USA
2,ADBE,Adobe Inc,Technology,Software - Application,158968420000,239557480000,268219379999,154635535000,270259800000,158968420000,"50,99908358","43,62194487","60,98813978","33,75086207","51,56573139","41,48782428",0,0,0,0,0,0,6,6,6,6,6,6,"8,168164721","8,168164721","8,168164721","8,168164721","8,168164721","8,168164721","0,02715445195","0,02313343613","0,02343881685","0,04607551376","0,02480182212","0,03391824635","0,1914649386","0,2246077184","0,2403208212","0,2459868022","0,2457777625","0,254079938","0,2371303547","0,1518805739","0,2266863537","0,1153626861","0,1024082699","0,1079911381","0,3631574786","0,04555357497","0,1241947566","0,05627214741","-0,3932425488","-0,1956767626","0,8502662672","0,8661796705","0,8818498575","0,8770305578","0,8787160596","0,8903510811","0,1538461538","0,805","-0,07479224377","0,007984031936","0,1712871287","0,04480135249",USA
3,ADP,Automatic Data Processing Inc,Technology,Software - Application,73315000000,75025960000,103095098000,98959698000,95773967000,73315000000,"31,56823535","26,00519441","32,58483972","29,82968293","26,64921542","25,79053891","0,01786413723","0,02292576331","0,01860716022","0,01885982695","0,02093544739","0,02256058635",7,7,7,7,7,7,"2,767451399","2,767451399","2,767451399","2,767451399","2,767451399","2,767451399","0,02931486958","0,0375698772","0,03055802372","0,02894454815","0,03998806825","0,03714317231","0,2407096363","0,2424933215","0,2401791403","0,3664229395","0,4169970932","0,3937116676","0,06358936651","0,02924826457","0,02848565436","0,09949084996","0,09176096931","0,06608853999","0,08887008041","0,1168528","0,1975022891","0,4671660424","0,2594668802","0,1365344828","0,4670339748","0,4596156219","0,4647660176","0,468569489","0,4888631039","0,4994427838","0,2329411765","0,08782442748","0,06483983018","0,1537118192","0,1720740275","0,1089938839",USA
4,AGNC,AGNC Investment Corp,Real Estate,REIT - Mortgage,9680401120,8325720000,7885472000,5557950000,6595263000,9680401120,"13,89216279","-32,34947368","10,60430441","-4,670546218","39,13873548","8,360502897","0,1191695837","0,1127256838","0,1082765595","0,156352612","0,1656637826","0,1720000543",4,4,4,4,4,4,"-0,02799547362","-0,02799547362","-0,02799547362","-0,02799547362","-0,02799547362","-0,02799547362","0,1234592702","0,2030224429","0,1938905833","0,1822614453","-0,019451071","0,01191942359","-0,2347501622","0,03552428085","-1,377112676","1,304054054",0,0,"2,366812227","-1,224383917","5,838150289","-2,333333333","1,224910394","2,876494024",0,0,0,0,0,0,1,1,1,1,1,1,"4,523809524","-1,568965517","2,848484848","-2,975409836","1,021410788","17,02325581",USA
5,AMKR,AMKOR Technology Inc,Technology,Semiconductor Equipment & Materials,3131947000,3668466360,6058750370,5874068860,8177732730,3131947000,"25,77944047","10,77061945","9,402461326","7,661470705","22,71191858","17,88660045",0,"0,002652519894","0,008470929465","0,009393709829","0,00913920728","0,02820641057",4,4,4,4,4,4,"3,549179917","3,549179917","3,549179917","3,549179917","3,549179917","3,549179917","0,02933393231","0,05958666625","0,05648874206","0,03246144062","0,0636992444","0,05449591281","0,04671066517","0,1027728102","0,1496155723","0,1478760564","0,06840146715","0,06227634726","-0,06111851686","0,246243569",#ERROR!,"0,1552956839","-0,08298849975","-0,02850548165","0,9363609171","0,6410450603","0,4087798724","0,370851402","0,2332121772","0,2650207588","0,1602504534","0,1783582073","0,199655965","0,1875443924","0,1450320733","0,1477140703","-0,05660377358","1,8","0,8714285714","0,1870229008","-0,5305466238","-0,02054794521",USA
6,AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail,920204400000,1641528000000,1697209600000,858480000000,1573490640000,920204400000,"78,77228167","76,34428766","50,56966791","-314,4290963","51,45734626","38,78057437",0,0,0,0,0,0,6,6,6,6,6,6,"6,124614018","6,124614018","6,124614018","6,124614018","6,124614018","6,124614018","0,02372117318","0,01591894381","-0,008728037068","-0,01973767228","0,02057818774","0,01430926938","0,08781215201","0,1036355628","0,07817590151","0,01826849844","0,08228265483","0,1331584927","0,2045412582","0,376234306","0,2169536657","0,09399517264","0,1182957413","0,1099089225","0,7256255854","0,8286834624","1,077722366","2,248383396","0,6960023266","0,4209586884","0,4099001148","0,3956779187","0,4203251444","0,4380533987","0,4698208896","0,4885439346","0,1386138614","0,8173913043","0,5502392344","-1,083333333","11,74074074","0,9068965517",USA
7,ASTE,Astec Industries Inc,Industrials,Farm & Heavy Construction Machinery,946890000,1310024491,1578142112,922656719,846337200,946890000,"42,40493274","28,41846974","99,63817406","-9266,705532","24,30011991","178,1503256","0,01048613094","0,007649648497","0,00647913941","0,01208628024","0,01449535259","0,01553430706",7,7,7,7,7,7,"3,27277455","3,27277455","3,27277455","3,27277455","3,27277455","3,27277455","0,09419540412","0,09646206754","-0,008067163775","-0,1236685461","-0,007739044177","0,003263509887","0,04054597369","0,05960264901","0,02904261529","-0,001363636364","0,04960697748","0,008715187809","-0,001706215181","-0,1241450068","0,06940648184","0,1633957097","0,04998038446","-0,02473471828","-0,895072331","-2,060526316","-2,140293638","0,356223176","0,1730434783","0,5836575875","0,2046853625","0,2319406482","0,2277498859","0,2072185171","0,24742191","0,2512451153","1,371212121","1,091836735","-0,6634146341","-1,038115942","56,89353612","-0,8707482993",USA
8,AVGO,Broadcom Inc,Technology,Semiconductors,125768000000,178671958000,274144800000,233703800000,504567600000,125768000000,"44,56314244","47,71033784","32,14385392","16,72648108","24,79331771","132,2095335","0,03488755252","0,03918636252","0,02869005778","0,03657339722","0,02189669172","0,01259213791",8,8,8,8,8,8,"12,18182252","12,18182252","12,18182252","12,18182252","12,18182252","12,18182252","0,07632424417","0,08212566544","0,06152290078","0,08483863133","0,0505041681","0,0249096969","0,05433805084","0,05692890269","0,1217662571","0,1971300976","0,2252156098","0,05574742683","0,08389293937","0,05713147763","0,1491125251","0,2095810565","0,07878806132","0,4398503587","2,935456565","3,062561798","1,913416377","1,438893239","1,238639681","2,438041794","0,5524184626","0,5658070998","0,6136247723","0,665451917","0,6892989754","0,6303369915","-0,7746478873","-0,015625","1,380952381","0,7666666667","0,2452830189","-0,6272727273",USA
9,BANF,Bancfirst Corp,Financial,Banks - Regional,2040513412,1922827212,2304977592,2898307911,3204719309,2040513412,"15,10968468","19,25878236","13,7710491","14,96822393","15,08016036","17,90299648","0,01953160306","0,0221449956","0,01955432293","0,0167667461","0,01674216449","0,01491537802",5,5,5,5,5,5,"-0,1842132411","-0,1842132411","-0,1842132411","-0,1842132411","-0,1842132411","-0,1842132411","0,06472293858","0,04609612853","0,07653780325","0,07143978999","0,065711794","0,05797203371","0,13058371","0,09088063487","0,1332807515","0,1444083818","0,1270784487","0,1178547616","0,1061687243","-0,02015252613","0,07045975328","0,2142910313","0,3409348092","0,1227784477","-9,918442908","-11,19524293","-8,597634379",#ERROR!,"-7,900440547","-11,6769654","0,867008099","0,8210476896","0,994620292","0,906848784","0,7443139135","0,68497349","0,07712765957","-0,2592592593","0,6766666667","0,1471172962","0,09878682842","0,01577287066",USA
