,Alpha,Alpha_tstat_FM,Mkt_Beta,SMB_Beta,HML_Beta,R_Squared
Decil 1 (Central),-0.0803,-5.4008,0.9684,0.5319,0.4365,0.964
Decil 2,-0.0477,-3.3865,0.9453,0.5185,0.3487,0.9664
Decil 3,-0.0623,-4.1275,0.951,0.491,0.3926,0.9633
Decil 4,-0.0712,-5.58,0.9566,0.4415,0.3159,0.9717
Decil 5,-0.0684,-4.9983,0.8926,0.4311,0.2487,0.9577
Decil 6,-0.0635,-5.5081,0.8694,0.4272,0.2214,0.9244
Decil 7,-0.0661,-3.2497,0.8175,0.3183,0.0973,0.8966
Decil 8,-0.1098,-6.9099,0.8246,0.4369,0.1326,0.871
Decil 9,-0.1412,-4.132,0.7124,0.3842,0.0932,0.8214
Decil 10 (Peripheral),-0.0873,-2.4511,0.4999,0.31,0.0192,0.6919
Long-Short (Peripheral - Central),-0.007,-0.1739,-0.4685,-0.2218,-0.4173,0.7108
