,Alpha,Alpha_tstat_FM,Mkt_Beta,SMB_Beta,HML_Beta,R_Squared
Decil 1 (Central),-0.0622,-3.4534,0.8777,0.2568,0.3477,0.9131
Decil 2,-0.0412,-2.4531,0.8147,0.2375,0.2943,0.8796
Decil 3,-0.0637,-3.4027,0.8223,0.3566,0.249,0.9439
Decil 4,-0.0494,-3.6942,0.9404,0.4076,0.2454,0.8921
Decil 5,-0.0756,-3.113,0.8955,0.5102,0.1905,0.8839
Decil 6,-0.0687,-3.2912,0.857,0.4682,0.2136,0.9198
Decil 7,-0.0931,-4.0378,0.8311,0.6032,0.1632,0.9491
Decil 8,-0.0789,-3.2144,0.7892,0.5275,0.3129,0.9278
Decil 9,-0.1175,-5.7355,0.7858,0.3897,0.1382,0.859
Decil 10 (Peripheral),-0.1474,-3.6337,0.8236,0.5335,0.1512,0.829
Long-Short (Peripheral - Central),-0.0852,-1.7602,-0.0541,0.2767,-0.1965,0.4745
